"name","playerid","new_BABIP","BABIP","Source","BABIP_adj_rate"
"Alejandro Mendez","sa3011785",0.299355,NA,NA,NA
"Alejandro Ramirez","sa3021042",0.297572,NA,NA,NA
"Alejandro Rosario","sa3023538",0.298547,NA,NA,NA
"Alejandro Torres","sa3023265",0.28942,NA,NA,NA
"Alek Jacob","29628",0.282705882352941,0.27,"REZ1",1.04705882352941
"Alek Manoah","26410",0.281398941176471,0.296,"REZ1",0.950672098569157
"Alemao Hernandez","sa3002788",0.288136,NA,NA,NA
"Alessandro Ercolani","sa3016714",0.296353,NA,NA,NA
"Alex Amalfi","sa3020489",0.293728,NA,NA,NA
"Alex Ayala Jr","sa3017141",0.290871,NA,NA,NA
"Alex Bustamante","sa3020631",0.297277,NA,NA,NA
"Alex Claudio","12890",0.300129,NA,NA,NA
"Alex Clemmey","sa3023421",0.292982,NA,NA,NA
"Alex Cobb","6562",0.307026470588235,0.325,"REZ1",0.944696832579185
"Alex Colome","6661",0.318252857142857,0.355,"REZ1",0.896486921529175
"Alex Cook","sa3020879",0.297091,NA,NA,NA
"Alex Cornwell","sa3017501",0.2981412,NA,NA,NA
"Alex Faedo","19874",0.282949058823529,0.289,"REZ1",0.979062487278648
"Alex Garbrick","sa3017465",0.298105,NA,NA,NA
"Alex Hoppe","sa3020836",0.305715,NA,NA,NA
"Alex Lange","19883",0.2954,0.316,"REZ1",0.934810126582278
"Alex Makarewich","sa3023642",0.295781,NA,NA,NA
"Alex Martinez","sa3015284",0.298001,NA,NA,NA
"Alex Mauricio","sa3004337",0.285743,NA,NA,NA
"Alex McFarlane","sa3020633",0.295558,NA,NA,NA
"Alex McKenney","sa3017209",0.298327,NA,NA,NA
"Alex Nolan","sa3010267",0.295511,NA,NA,NA
"Alex Pham","sa3017550",0.2909525,NA,NA,NA
"Alex Phillips","sa3008595",0.295247,NA,NA,NA
"Alex Powers","sa621533",0.295384,NA,NA,NA
"Alex Rao","sa3020595",0.291292,NA,NA,NA
"Alex Reyes","15015",0.28787,NA,NA,NA
"Alex Santos II","sa3014684",0.288892,NA,NA,NA
"Alex Scherff","sa3005397",0.29321,NA,NA,NA
"Alex Segal","sa919036",0.302144,NA,NA,NA
"Alex Speas","21859",0.281240470588235,0.23,"REZ1",1.22278465473146
"Alex Troop","sa915638",0.2892625,NA,NA,NA
"Alex Valdez","sa3005432",0.297672,NA,NA,NA
"Alex Valverde","sa3005207",0.29045,NA,NA,NA
"Alex Vesia","25007",0.277491882352941,0.297,"REZ1",0.934316102198455
"Alex Wells","19845",0.291317,NA,NA,NA
"Alex Williams","sa3020314",0.292605,NA,NA,NA
"Alex Wood","13781",0.299955882352941,0.305,"REZ1",0.983461909353905
"Alex Young","18333",0.306401058823529,0.339,"REZ1",0.90383793163283
"Alexander Agramonte","sa3021034",0.298423,NA,NA,NA
"Alexander Alberto","sa3015986",0.30334,NA,NA,NA
"Alexander Beltre","sa3015444",0.296567,NA,NA,NA
"Alexander Campos","sa3022221",0.297033,NA,NA,NA
"Alexander Cornielle","sa3011779",0.28688,NA,NA,NA
"Alexander De Los Santos","sa3023083",0.296938,NA,NA,NA
"Alexander Fuentes","sa3024072",0.299507,NA,NA,NA
"Alexander Johnson","sa3015278",0.297143,NA,NA,NA
"Alexander Vallecillo","sa3016034",0.29276,NA,NA,NA
"Alexis Cedano","sa3006641",0.294914,NA,NA,NA
"Alexis De La Cruz","sa3022007",0.293528,NA,NA,NA
"Alexis Diaz","21132",0.265893176470588,0.217,"REZ1",1.22531417728382
"Alexis Liebano","sa3019885",0.302458,NA,NA,NA
"Alexis Paulino","sa3019128",0.298484,NA,NA,NA
"Alexis Torres","sa3019375",0.303142,NA,NA,NA
"Alexuan Vega","sa3008334",0.299088,NA,NA,NA
"Alfonso Perez","sa3019659",0.296446,NA,NA,NA
"Alfred Morillo","sa3018870",0.306481,NA,NA,NA
"Alfred Vega","sa3006495",0.29131,NA,NA,NA
"Alfredi Jimenez","sa3006479",0.297262,NA,NA,NA
"Alfredo Romero","sa3018345",0.296806,NA,NA,NA
"Alfredo Ruiz","sa3017506",0.293463,NA,NA,NA
"Alfredo Zarraga","sa3018276",0.291618,NA,NA,NA
"Ali Ascanio","sa3018306",0.296616,NA,NA,NA
"Alimber Santa","sa3015478",0.291797,NA,NA,NA
"Alison Zacarias","sa3022388",0.297954,NA,NA,NA
"Alix Hernandez","sa3021479",0.294534,NA,NA,NA
"Allan Hernandez","sa3011399",0.29698,NA,NA,NA
"Allan Saathoff","sa3020711",0.285712,NA,NA,NA
"Allan Winans","21238",0.287088181818182,0.285,"REZ1",1.00732695374801
"Allen Facundo","sa3016071",0.297224,NA,NA,NA
"Alonzo Richardson","sa3015333",0.296342,NA,NA,NA
"Alonzo Tredwell","sa3023524",0.299023,NA,NA,NA
"Alvaro Benua","sa3018032",0.297561,NA,NA,NA
"Alvaro Gamez","sa3018854",0.300186,NA,NA,NA
"Alvaro Pineda","sa3019503",0.296785,NA,NA,NA
"Alvin Nova","sa3022153",0.295155,NA,NA,NA
"Amauri Otero","sa3019075",0.297626,NA,NA,NA
"Amilcar Chirinos","sa3017149",0.297627,NA,NA,NA
"Amir Garrett","14375",0.282738,0.267,"REZ1",1.05894382022472
"Amos Willingham","26128",0.290929176470588,0.268,"REZ1",1.0855566286216
"Anders Tolhurst","sa3019818",0.2876355,NA,NA,NA
"Anderson Amarista","sa917061",0.295925,NA,NA,NA
"Anderson Beltre","sa3022002",0.299504,NA,NA,NA
"Anderson Bido","sa3004204",0.2912075,NA,NA,NA
"Anderson Brito","sa3024232",0.296401,NA,NA,NA
"Anderson Cardenas","sa3020991",0.295723,NA,NA,NA
"Anderson Espinoza","18593",0.293663,NA,NA,NA
"Anderson Guevara","sa3019182",0.298591,NA,NA,NA
"Anderson Jerez","sa3021778",0.298763,NA,NA,NA
"Anderson Munoz","sa3007840",0.294225,NA,NA,NA
"Anderson Paulino","sa3007991",0.301213,NA,NA,NA
"Anderson Pilar","sa917899",0.296488571428571,NA,NA,NA
"Anderson Severino","20582",0.294021,NA,NA,NA
"Andinson Ferrer","sa3018819",0.289453,NA,NA,NA
"Andre Granillo","sa3016913",0.2845706,NA,NA,NA
"Andre Jackson","21298",0.293617142857143,0.297,"REZ1",0.988609908609909
"Andre Pallante","26108",0.300553176470588,0.311,"REZ1",0.966408927558162
"Andre Sanchez","sa3018297",0.294984,NA,NA,NA
"Andre Scrubb","20329",0.289361,NA,NA,NA
"Andres Cova","sa3024530",0.297297,NA,NA,NA
"Andres Diaz","sa3006159",0.29857,NA,NA,NA
"Andres Jimenez","sa3019648",0.299167,NA,NA,NA
"Andres Machado","14681",0.306897142857143,0.333,"REZ1",0.921613041613042
"Andres Munoz","20373",0.282974,0.287,"REZ1",0.98597212543554
"Andres Nunez","sa3006796",0.299046,NA,NA,NA
"Andres Parra","sa3018329",0.297381,NA,NA,NA
"Andres Silvera","sa3016284",0.302168,NA,NA,NA
"Andres Sotillet","sa917861",0.298813,NA,NA,NA
"Andrew Abbott","29911",0.288517058823529,0.296,"REZ1",0.974719793322735
"Andrew Albers","7853",0.295511,NA,NA,NA
"Andrew Alvarez","sa3017531",0.2949395,NA,NA,NA
"Andrew Baker","sa3017196",0.2912325,NA,NA,NA
"Andrew Bash","sa3010259",0.2871565,NA,NA,NA
"Andrew Bechtold","sa829787",0.285714,NA,NA,NA
"Andrew Bellatti","10657",0.293607916666667,0.305,"REZ1",0.962648907103825
"Andrew Bolivar","sa3024521",0.297885,NA,NA,NA
"Andrew Cabezas","sa3007461",0.296374,NA,NA,NA
"Andrew Chafin","12988",0.293315647058824,0.303,"REZ1",0.968038439138032
"Andrew Dalquist","sa3011841",0.292023,NA,NA,NA
"Andrew Edwards","sa1170614",0.294104,NA,NA,NA
"Andrew Gross","sa3010127",0.297653,NA,NA,NA
"Andrew Heaney","15423",0.296024117647059,0.303,"REZ1",0.976977285963891
"Andrew Hoffmann","sa3017202",0.293707,NA,NA,NA
"Andrew Kittredge","12828",0.29313,0.302,"REZ1",0.970629139072848
"Andrew Landry","sa3024982",0.295204,NA,NA,NA
"Andrew Lee","sa856275",0.296007,NA,NA,NA
"Andrew Magno","sa3010824",0.2890795,NA,NA,NA
"Andrew Marrero","sa3016941",0.28853,NA,NA,NA
"Andrew McInvale","sa3011143",0.293063,NA,NA,NA
"Andrew Miller","6785",0.297482,NA,NA,NA
"Andrew Misiaszek","sa3010118",0.292370333333333,NA,NA,NA
"Andrew Mitchell","sa3007801",0.294672,NA,NA,NA
"Andrew Moore","17553",0.292697,NA,NA,NA
"Andrew Moore","sa3016795",0.295352,NA,NA,NA
"Andrew Morris","sa3020569",0.295306833333333,NA,NA,NA
"Andrew Nardi","25942",0.287917764705882,0.255,"REZ1",1.1290892733564
"Andrew Painter","sa3017880",0.285441285714286,NA,NA,NA
"Andrew Perez","sa3006640",0.291152,NA,NA,NA
"Andrew Politi","sa3007243",0.2972485,NA,NA,NA
"Andrew Quezada","sa3009858",0.309437,NA,NA,NA
"Andrew Saalfrank","26203",0.2991436,0.292,"REZ1",1.02446438356164
"Andrew Schultz","sa3010782",0.2890645,NA,NA,NA
"Andrew Sears","sa3023133",0.291896,NA,NA,NA
"Andrew Shaps","sa3008430",0.297359,NA,NA,NA
"Andrew Suarez","18300",0.300464583333333,0.316,"REZ1",0.950837289029536
"Andrew Taylor","sa3020873",0.295507,NA,NA,NA
"Andrew Vasquez","19482",0.283760833333333,0.251,"REZ1",1.13052124833997
"Andrew Walling","sa3020319",0.2910045,NA,NA,NA
"Andrew Walters","33834",0.2836516,0.274,"REZ1",1.03522481751825
"Andrew Wantz","24933",0.273368,0.279,"REZ1",0.979813620071684
"Andry Lara","sa3014716",0.2899862,NA,NA,NA
"Andy Basora","sa3019168",0.299247,NA,NA,NA
"Andy Fisher","sa1172135",0.295805,NA,NA,NA
"Andy Luis","sa3015633",0.294739,NA,NA,NA
"Andy Otero","sa506550",0.296714,NA,NA,NA
"Andy Rodriguez","sa3017620",0.300102,NA,NA,NA
"Andy Rodriguez","sa3020863",0.288605,NA,NA,NA
"Andy Santana","sa3002957",0.298574,NA,NA,NA
"Anel Cabrera","sa3021033",0.300581,NA,NA,NA
"Aneudis George","sa3016514",0.297477,NA,NA,NA
"Aneudis Mejia","sa3019960",0.297617,NA,NA,NA
"Aneudy Cortorreal","sa3009242",0.296014,NA,NA,NA
"Aneuris Rodriguez","sa3019393",0.29931,NA,NA,NA
"Aneuris Rosario","sa828343",0.296573,NA,NA,NA
"Aneury Lora","sa3019365",0.291683,NA,NA,NA
"Aneurys Zabala","20802",0.294743,NA,NA,NA
"Anfernny Reyes","sa3018807",0.297039,NA,NA,NA
"Angel Acevedo","sa917893",0.301171,NA,NA,NA
"Angel Alfonseca","sa3015308",0.297458,NA,NA,NA
"Angel Anazco","sa3021494",0.297154,NA,NA,NA
"Angel Bastardo","sa3009716",0.287052285714286,NA,NA,NA
"Angel Bello","sa3024272",0.298376,NA,NA,NA
"Angel Beltran","sa3024556",0.297821,NA,NA,NA
"Angel Camacho","sa3022175",0.295223,NA,NA,NA
"Angel Chivilli","26790",0.298015411764706,0.278,"REZ1",1.0719978840457
"Angel Cruz","sa3020988",0.296573,NA,NA,NA
"Angel Cuenca","sa3006414",0.292965,NA,NA,NA
"Angel De Jesus","22323",0.291896,NA,NA,NA
"Angel Felipe","21163",0.290605714285714,0.271,"REZ1",1.07234580917238
"Angel Gonzalez","sa3015160",0.292581,NA,NA,NA
"Angel Hernandez","sa3015363",0.297916,NA,NA,NA
"Angel Hernandez","sa3019189",0.299302,NA,NA,NA
"Angel Jimenez","sa3018287",0.296188,NA,NA,NA
"Angel Macuare","sa3003039",0.2932915,NA,NA,NA
"Angel Perdomo","17759",0.295645529411765,0.306,"REZ1",0.96616186082276
"Angel Reyes","sa3006985",0.2917665,NA,NA,NA
"Angel Roman","sa3018314",0.293058,NA,NA,NA
"Angel Rondon","22036",0.291371,NA,NA,NA
"Angel Sanchez","11776",0.299656,NA,NA,NA
"Angel Tello","sa3019121",0.298313,NA,NA,NA
"Angel Zerpa","22717",0.303377294117647,0.33,"REZ1",0.91932513368984
"Angello Infante","sa916705",0.295813,NA,NA,NA
"Anibal Sanchez","3284",0.29501,NA,NA,NA
"Ankeily Feliz","sa3018803",0.297845,NA,NA,NA
"Anthony Arguelles","sa3023266",0.293418,NA,NA,NA
"Anthony Banda","14706",0.293966117647059,0.287,"REZ1",1.02427218692355
"Anthony Bass","7982",0.300115714285714,0.311,"REZ1",0.965002296738631
"Anthony Bello","sa3019565",0.297372,NA,NA,NA
"Anthony Bender","19742",0.299850235294118,0.296,"REZ1",1.01300755166932
"Anthony Castro","19789",0.296864,NA,NA,NA
"Anthony Crespo","sa3023139",0.297577,NA,NA,NA
"Anthony Cruz","sa3019534",0.29552,NA,NA,NA
"Anthony DeSclafani","13050",0.294739647058824,0.293,"REZ1",1.00593736197551
"Anthony Escobar","sa3005691",0.298009,NA,NA,NA
"Anthony Flores","sa3019377",0.296014,NA,NA,NA
"Anthony Garcia","sa3019661",0.305375,NA,NA,NA
"Anthony Gose","5097",0.28894,0.292,"REZ1",0.989520547945206
"Anthony HoopiiTuionetoa","sa3015298",0.2915578,NA,NA,NA
"Anthony Kay","20387",0.308522857142857,0.346,"REZ1",0.89168455821635
"Anthony Maldonado","26034",0.287676888888889,0.278,"REZ1",1.03480895283773
"Anthony Mendez","sa3015992",0.298055,NA,NA,NA
"Anthony Misiewicz","18152",0.312732588235294,0.366,"REZ1",0.8544606235937
"Anthony Molina","26952",0.309240823529412,0.312,"REZ1",0.991156485671191
"Anthony Narvaez","sa3019521",0.298054,NA,NA,NA
"Anthony Perez","sa3016623",0.298685,NA,NA,NA
"Anthony Simonelli","sa3017312",0.293583,NA,NA,NA
"Anthony Solometo","sa3018259",0.2981465,NA,NA,NA
"Anthony Swarzak","7466",0.294961,NA,NA,NA
"Anthony Tomczak","sa3011763",0.291384,NA,NA,NA
"Anthony Veneziano","27453",0.300753411764706,0.291,"REZ1",1.03351687891652
"Anthony Vizcaya","sa657689",0.296271,NA,NA,NA
"Antoine Kelly","sa3011135",0.300487,NA,NA,NA
"Antoni Cuello","sa3015947",0.296885,NA,NA,NA
"Antonio Florido","sa3018890",0.297624,NA,NA,NA
"Antonio Jimenez","sa3008074",0.2941874,NA,NA,NA
"Antonio Knowles","sa3017387",0.29077,NA,NA,NA
"Antonio Menendez","sa3018799",0.2911905,NA,NA,NA
"Antonio Santos","20383",0.2894785,NA,NA,NA
"Antonio Senzatela","15488",0.312816470588235,0.312,"REZ1",1.00261689291101
"Antonio Velez","sa3014850",0.293331,NA,NA,NA
"Antwone Kelly","sa3015489",0.299506,NA,NA,NA
"Anyelo Ovando","sa3015996",0.288553,NA,NA,NA
"Anyer Laureano","sa3019123",0.300141,NA,NA,NA
"Archie Bradley","12918",0.300871428571429,0.299,"REZ1",1.00625895843287
"Argenis Angulo","sa829470",0.297394,NA,NA,NA
"Argenis Aparicio","sa3021643",0.298097,NA,NA,NA
"Ariel Jurado","17030",0.297173,NA,NA,NA
"Arielbi Gonzalez","sa3016800",0.296832,NA,NA,NA
"Arij Fransen","sa3015369",0.296762,NA,NA,NA
"Arlison Rodriguez","sa3018823",0.296193,NA,NA,NA
"Armando Vasquez","sa3018283",0.300621,NA,NA,NA
"Arnaldo Hernandez","sa828154",0.293492,NA,NA,NA
"Arodys Vizcaino","5498",0.299431,NA,NA,NA
"Aroldis Chapman","10233",0.297730705882353,0.294,"REZ1",1.01268947579032
"Art Warren","18251",0.2906035,NA,NA,NA
"Asa Lacy","sa3014423",0.30306,NA,NA,NA
"Asher Wojciechowski","10836",0.292206,NA,NA,NA
"Ashton Goudeau","15139",0.3117,NA,NA,NA
"Ashton Izzi","sa3022230",0.28917,NA,NA,NA
"Audry Lugo","sa3008710",0.297438,NA,NA,NA
"Augusto Calderon","sa3006406",0.292903,NA,NA,NA
"Austin Adams","13801",0.297633294117647,0.296,"REZ1",1.00551788553259
"Austin Aldeano","sa3016259",0.295109,NA,NA,NA
"Austin Amaral","sa3022903",0.292848,NA,NA,NA
"Austin Becker","sa3020465",0.312647,NA,NA,NA
"Austin Bergner","sa3011122",0.2901825,NA,NA,NA
"Austin Brice","17237",0.2976125,NA,NA,NA
"Austin Briggs","sa3007261",0.301068,NA,NA,NA
"Austin Cox","24604",0.293461666666667,0.297,"REZ1",0.988086419753087
"Austin Davis","17117",0.288565454545455,0.294,"REZ1",0.981515151515152
"Austin Drury","sa3008043",0.298757,NA,NA,NA
"Austin Emener","sa3022799",0.306284,NA,NA,NA
"Austin Gomber","16561",0.303712352941176,0.31,"REZ1",0.979717267552182
"Austin Hansen","sa3006956",0.297073,NA,NA,NA
"Austin Hedges","12976",0.272727,NA,NA,NA
"Austin Kitchen","27910",0.296378333333333,0.301,"REZ1",0.984645625692137
"Austin Krob","sa3020594",0.292725,NA,NA,NA
"Austin Lambright","sa3007236",0.305903,NA,NA,NA
"Austin Love","sa3017609",0.295828,NA,NA,NA
"Austin Peterson","sa3020868",0.2921465,NA,NA,NA
"Austin Pope","sa3010816",0.2983805,NA,NA,NA
"Austin Pruitt","15290",0.292357916666667,0.31,"REZ1",0.943090053763441
"Austin Roberts","sa3010254",0.2979775,NA,NA,NA
"Austin Ross","sa3007817",0.289375,NA,NA,NA
"Austin Schulfer","sa3007585",0.294071,NA,NA,NA
"Austin Smith","sa3017071",0.295561,NA,NA,NA
"Austin Strickland","sa3023380",0.29834,NA,NA,NA
"Austin Temple","sa3020263",0.297492,NA,NA,NA
"Austin Troesser","sa3023281",0.29258,NA,NA,NA
"Austin Vernon","sa3017138",0.289813,NA,NA,NA
"Austin Voth","15047",0.292029818181818,0.302,"REZ1",0.966986152919928
"Austin Warner","sa3004494",0.295037,NA,NA,NA
"Austin Warren","24937",0.282202588235294,0.271,"REZ1",1.04133796396788
"Avery Short","sa3011712",0.301444,NA,NA,NA
"Avery Weems","sa3010256",0.295763,NA,NA,NA
"Ayendy Bravo","sa3024090",0.298044,NA,NA,NA
"Bailey Dees","sa3017946",0.2837225,NA,NA,NA
"Bailey Falter","20070",0.292916823529412,0.302,"REZ1",0.969923256719907
"Bailey Horn","27753",0.290663647058824,0.296,"REZ1",0.981971780604134
"Bailey Ober","21224",0.278314235294118,0.268,"REZ1",1.03848595258999
"Bailey Reid","sa3014867",0.296604,NA,NA,NA
"Baron Stuart","sa3020888",0.2888115,NA,NA,NA
"Barrett Kent","sa3023082",0.293783,NA,NA,NA
"Barrett Loseke","sa3008243",0.288745,NA,NA,NA
"Bayant Melo","sa3022028",0.299026,NA,NA,NA
"Bayden Root","sa3023040",0.298952,NA,NA,NA
"Bear Bellomy","sa1170484",0.294237,NA,NA,NA
