"name","playerid","new_L","L","Source","L_adj_rate"
"Adenys Bautista","sa3007905",0.0582,NA,NA,NA
"Adilson Peralta","sa3018816",0.0595,NA,NA,NA
"Adisyn Coffey","sa3014738",2.02745,NA,NA,NA
"Adolfo Oviedo","sa3018882",0.0862,NA,NA,NA
"Adolfo Ramirez","sa3003015",0.0667,NA,NA,NA
"Adonis Medina","19903",2.5251,NA,NA,NA
"Adonis Villavicencio","sa3019070",0.057,NA,NA,NA
"Adonys Perez","sa3020114",0.0681,NA,NA,NA
"Adrian Acosta","sa3018883",0.094,NA,NA,NA
"Adrian Alcantara","sa974592",0.0665,NA,NA,NA
"Adrian Bohorquez","sa3021501",0.084,NA,NA,NA
"Adrian Chaidez","sa3017417",0.0685,NA,NA,NA
"Adrian De Horta","sa737857",0.0619,NA,NA,NA
"Adrian Del Moral","sa3006816",0.0573,NA,NA,NA
"Adrian Delgado","sa3019379",0.0627,NA,NA,NA
"Adrian Florencio","sa3010569",0.0787,NA,NA,NA
"Adrian Heredia","sa3024791",0.0899,NA,NA,NA
"Adrian Hernandez","sa3006177",1.0262,NA,NA,NA
"Adrian Herrera","sa3023627",0.0783,NA,NA,NA
"Adrian Houser","12718",3.03834727272727,4.015,"REZ1",0.756749009396581
"Adrian Martinez","21023",2.884125,2.176,"REZ1",1.32542509191176
"Adrian Martinez","sa3016049",0.0907,NA,NA,NA
"Adrian Morejon","20039",2.82912588235294,3.4,"REZ1",0.832095847750865
"Adrian Ogando","sa3017617",0.0624,NA,NA,NA
"Adrian Quintana","sa3016465",0.0566,NA,NA,NA
"Adrian Rodriguez","sa3015385",0.0561,NA,NA,NA
"Adrian Sampson","13339",4.03485,NA,NA,NA
"Adrian Santana","sa3018876",0.0708,NA,NA,NA
"Aidan Anderson","sa3011250",3.0274,NA,NA,NA
"Aidan Curry","sa3015334",0.078,NA,NA,NA
"Aidan Maldonado","sa3020829",0.0553,NA,NA,NA
"Al Pesto","sa3021977",0.0493,NA,NA,NA
"Alain Pena","sa3019050",0.0746,NA,NA,NA
"Alan Busenitz","15239",1.89845833333333,1.263,"REZ1",1.50313407231459
"Alan Carter","sa3020817",0.0508,NA,NA,NA
"Alan Mundo","sa3005688",0.0556,NA,NA,NA
"Alan Perdomo","sa3006399",0.0636,NA,NA,NA
"Alan Rangel","sa877578",2.54159128571429,NA,NA,NA
"Alan Strong","sa3006768",0.0541,NA,NA,NA
"Alaska Abney","sa3017308",1.5267,NA,NA,NA
"Albert Abreu","17485",0.723608533333333,2.142,"REZ1",0.337819109866169
"Albert Breton","sa3009995",0.0617,NA,NA,NA
"Albert Polanco","sa3019660",0.0918,NA,NA,NA
"Albert Rivas","sa3018286",0.0547,NA,NA,NA
"Albert Suarez","6175",4.89196235294118,7.465,"REZ1",0.65531980615421
"Alberto Baldonado","11812",0.0495,NA,NA,NA
"Alberto Guerrero","sa872514",0.0526,NA,NA,NA
"Alberto Mota","sa3016712",0.0582,NA,NA,NA
"Alberto Pacheco","sa3015421",0.0843,NA,NA,NA
"Albertus Barber","sa1172728",0.0512,NA,NA,NA
"Aldrin Batista","sa3019119",0.0816,NA,NA,NA
"Aldry Acosta","sa3002794",0.0519,NA,NA,NA
"Alec Baker","sa3022794",0.0582,NA,NA,NA
"Alec Barger","sa3010566",1.52775,NA,NA,NA
"Alec Bettinger","20312",0.0629,NA,NA,NA
"Alec Gamboa","sa3011249",2.5327,NA,NA,NA
"Alec Kisena","sa875686",0.0656,NA,NA,NA
"Alec Marsh","27451",7.31298,8.006,"REZ1",0.91343742193355
"Alec Mills","13834",0.962142857142857,3.238,"REZ1",0.29714109238507
"Alejandro Gomez","sa3017618",0.0565,NA,NA,NA
"Alejandro Hidalgo","sa3015151",0.0787,NA,NA,NA
"Alejandro Lugo","sa3009253",0.0622,NA,NA,NA
"Alejandro Manzano","sa3019125",0.0757,NA,NA,NA
"Alejandro Mateo","sa918495",0.0528,NA,NA,NA
"Alejandro Melean","sa3006815",2.0263,NA,NA,NA
"Alejandro Mendez","sa3011785",0.0582,NA,NA,NA
"Alejandro Ramirez","sa3021042",0.0616,NA,NA,NA
"Alejandro Rosario","sa3023538",0.065,NA,NA,NA
"Alejandro Torres","sa3023265",1.0253,NA,NA,NA
"Alek Jacob","29628",1.74635482352941,1.925,"REZ1",0.90719731092437
"Alek Manoah","26410",2.30215294117647,5.247,"REZ1",0.438756039865918
"Alemao Hernandez","sa3002788",0.0689,NA,NA,NA
"Alessandro Ercolani","sa3016714",0.0725,NA,NA,NA
"Alex Amalfi","sa3020489",0.0535,NA,NA,NA
"Alex Ayala Jr","sa3017141",0.0781,NA,NA,NA
"Alex Bustamante","sa3020631",0.0563,NA,NA,NA
"Alex Claudio","12890",0.0512,NA,NA,NA
"Alex Clemmey","sa3023421",0.0785,NA,NA,NA
"Alex Cobb","6562",5.60646588235294,4.83,"REZ1",1.16075898185361
"Alex Colome","6661",0.989785714285714,3.327,"REZ1",0.297500966121345
"Alex Cook","sa3020879",0.0764,NA,NA,NA
"Alex Cornwell","sa3017501",1.07548,NA,NA,NA
"Alex Faedo","19874",3.16216,3.552,"REZ1",0.890247747747748
"Alex Garbrick","sa3017465",0.0558,NA,NA,NA
"Alex Hoppe","sa3020836",2.52585,NA,NA,NA
"Alex Lange","19883",2.35691694117647,1.969,"REZ1",1.19701215905357
"Alex Makarewich","sa3023642",0.0795,NA,NA,NA
"Alex Martinez","sa3015284",0.0561,NA,NA,NA
"Alex Mauricio","sa3004337",1.52585,NA,NA,NA
"Alex McFarlane","sa3020633",0.0772,NA,NA,NA
"Alex McKenney","sa3017209",0.0587,NA,NA,NA
"Alex Nolan","sa3010267",0.0556,NA,NA,NA
"Alex Pham","sa3017550",2.53445,NA,NA,NA
"Alex Phillips","sa3008595",0.0503,NA,NA,NA
"Alex Powers","sa621533",0.05,NA,NA,NA
"Alex Rao","sa3020595",0.056,NA,NA,NA
"Alex Reyes","15015",0.0491,NA,NA,NA
"Alex Santos II","sa3014684",3.03675,NA,NA,NA
"Alex Scherff","sa3005397",0.0528,NA,NA,NA
"Alex Segal","sa919036",0.0479,NA,NA,NA
"Alex Speas","21859",1.35999470588235,1.562,"REZ1",0.870675227837614
"Alex Troop","sa915638",2.5326,NA,NA,NA
"Alex Valdez","sa3005432",0.0566,NA,NA,NA
"Alex Valverde","sa3005207",0.0715,NA,NA,NA
"Alex Vesia","25007",2.86312117647059,3.614,"REZ1",0.792230541358768
"Alex Wells","19845",0.0521,NA,NA,NA
"Alex Williams","sa3020314",0.069,NA,NA,NA
"Alex Wood","13781",4.47101882352941,3.207,"REZ1",1.39414369302445
"Alex Young","18333",1.26528482352941,2.341,"REZ1",0.54048903183657
"Alexander Agramonte","sa3021034",0.0776,NA,NA,NA
"Alexander Alberto","sa3015986",0.057,NA,NA,NA
"Alexander Beltre","sa3015444",0.0598,NA,NA,NA
"Alexander Campos","sa3022221",0.0896,NA,NA,NA
"Alexander Cornielle","sa3011779",0.0792,NA,NA,NA
"Alexander De Los Santos","sa3023083",0.0934,NA,NA,NA
"Alexander Fuentes","sa3024072",0.0917,NA,NA,NA
"Alexander Johnson","sa3015278",0.0609,NA,NA,NA
"Alexander Vallecillo","sa3016034",0.0814,NA,NA,NA
"Alexis Cedano","sa3006641",0.0582,NA,NA,NA
"Alexis De La Cruz","sa3022007",0.0713,NA,NA,NA
"Alexis Diaz","21132",3.37886588235294,2.936,"REZ1",1.15083987818561
"Alexis Liebano","sa3019885",0.0561,NA,NA,NA
"Alexis Paulino","sa3019128",0.0698,NA,NA,NA
"Alexis Torres","sa3019375",0.0713,NA,NA,NA
"Alexuan Vega","sa3008334",0.0565,NA,NA,NA
"Alfonso Perez","sa3019659",0.0927,NA,NA,NA
"Alfred Morillo","sa3018870",0.0537,NA,NA,NA
"Alfred Vega","sa3006495",0.0536,NA,NA,NA
"Alfredi Jimenez","sa3006479",0.075,NA,NA,NA
"Alfredo Romero","sa3018345",0.0824,NA,NA,NA
"Alfredo Ruiz","sa3017506",0.0542,NA,NA,NA
"Alfredo Zarraga","sa3018276",2.0267,NA,NA,NA
"Ali Ascanio","sa3018306",0.062,NA,NA,NA
"Alimber Santa","sa3015478",2.03045,NA,NA,NA
"Alison Zacarias","sa3022388",0.0929,NA,NA,NA
"Alix Hernandez","sa3021479",0.0632,NA,NA,NA
"Allan Hernandez","sa3011399",0.0565,NA,NA,NA
"Allan Saathoff","sa3020711",0.0543,NA,NA,NA
"Allan Winans","21238",2.50043454545455,2.626,"REZ1",0.952183756837222
"Allen Facundo","sa3016071",0.0741,NA,NA,NA
"Alonzo Richardson","sa3015333",0.0855,NA,NA,NA
"Alonzo Tredwell","sa3023524",0.0782,NA,NA,NA
"Alvaro Benua","sa3018032",0.061,NA,NA,NA
"Alvaro Gamez","sa3018854",0.0777,NA,NA,NA
"Alvaro Pineda","sa3019503",0.0913,NA,NA,NA
"Alvin Nova","sa3022153",0.0819,NA,NA,NA
"Amauri Otero","sa3019075",0.083,NA,NA,NA
"Amilcar Chirinos","sa3017149",0.0551,NA,NA,NA
"Amir Garrett","14375",1.12605636363636,1.692,"REZ1",0.665517945411563
"Amos Willingham","26128",2.26428117647059,2.49,"REZ1",0.909349870068509
"Anders Tolhurst","sa3019818",1.52475,NA,NA,NA
"Anderson Amarista","sa917061",0.0738,NA,NA,NA
"Anderson Beltre","sa3022002",0.0909,NA,NA,NA
"Anderson Bido","sa3004204",0.52685,NA,NA,NA
"Anderson Brito","sa3024232",0.0759,NA,NA,NA
"Anderson Cardenas","sa3020991",0.0804,NA,NA,NA
"Anderson Espinoza","18593",0.0504,NA,NA,NA
"Anderson Guevara","sa3019182",0.0826,NA,NA,NA
"Anderson Jerez","sa3021778",0.0773,NA,NA,NA
"Anderson Munoz","sa3007840",0.051,NA,NA,NA
"Anderson Paulino","sa3007991",2.02565,NA,NA,NA
"Anderson Pilar","sa917899",2.22348671428571,NA,NA,NA
"Anderson Severino","20582",0.0532,NA,NA,NA
"Andinson Ferrer","sa3018819",0.0554,NA,NA,NA
"Andre Granillo","sa3016913",1.75456,NA,NA,NA
"Andre Jackson","21298",0.538,1.74,"REZ1",0.309195402298851
"Andre Pallante","26108",7.60098941176471,5.259,"REZ1",1.44532979877633
"Andre Sanchez","sa3018297",0.0874,NA,NA,NA
"Andre Scrubb","20329",0.52565,NA,NA,NA
"Andres Cova","sa3024530",0.0891,NA,NA,NA
"Andres Diaz","sa3006159",0.0759,NA,NA,NA
"Andres Jimenez","sa3019648",0.0616,NA,NA,NA
"Andres Machado","14681",0.524857142857143,1.714,"REZ1",0.306217702950492
"Andres Munoz","20373",3.01718470588235,3.881,"REZ1",0.777424557042606
"Andres Nunez","sa3006796",0.0524,NA,NA,NA
"Andres Parra","sa3018329",0.0682,NA,NA,NA
"Andres Silvera","sa3016284",0.0856,NA,NA,NA
"Andres Sotillet","sa917861",0.0507,NA,NA,NA
"Andrew Abbott","29911",9.08551294117647,8.367,"REZ1",1.08587461947848
"Andrew Albers","7853",0.0641,NA,NA,NA
"Andrew Alvarez","sa3017531",4.53425,NA,NA,NA
"Andrew Baker","sa3017196",2.02545,NA,NA,NA
"Andrew Bash","sa3010259",1.5347,NA,NA,NA
"Andrew Bechtold","sa829787",4,NA,NA,NA
"Andrew Bellatti","10657",1.520875,1.497,"REZ1",1.01594856379426
"Andrew Bolivar","sa3024521",0.0907,NA,NA,NA
"Andrew Cabezas","sa3007461",0.0512,NA,NA,NA
"Andrew Chafin","12988",2.73025411764706,2.946,"REZ1",0.926766502935186
"Andrew Dalquist","sa3011841",3.02885,NA,NA,NA
"Andrew Edwards","sa1170614",0.0493,NA,NA,NA
"Andrew Gross","sa3010127",0.0576,NA,NA,NA
"Andrew Heaney","15423",8.02980117647059,5.563,"REZ1",1.44343001554388
"Andrew Hoffmann","sa3017202",3.53345,NA,NA,NA
"Andrew Kittredge","12828",3.50002117647059,3.331,"REZ1",1.05074187225175
"Andrew Landry","sa3024982",0.0759,NA,NA,NA
"Andrew Lee","sa856275",0.0509,NA,NA,NA
"Andrew Magno","sa3010824",3.5253,NA,NA,NA
"Andrew Marrero","sa3016941",2.02615,NA,NA,NA
"Andrew McInvale","sa3011143",0.0518,NA,NA,NA
"Andrew Miller","6785",0.0511,NA,NA,NA
"Andrew Misiaszek","sa3010118",1.871455,NA,NA,NA
"Andrew Mitchell","sa3007801",0.0514,NA,NA,NA
"Andrew Moore","17553",0.0658,NA,NA,NA
"Andrew Moore","sa3016795",2.52706,NA,NA,NA
"Andrew Morris","sa3020569",1.25253116666667,NA,NA,NA
"Andrew Nardi","25942",2.67122117647059,2.404,"REZ1",1.11115689537046
"Andrew Painter","sa3017880",3.2919,NA,NA,NA
"Andrew Perez","sa3006640",0.0526,NA,NA,NA
"Andrew Politi","sa3007243",2.0252,NA,NA,NA
"Andrew Quezada","sa3009858",2.53895,NA,NA,NA
"Andrew Saalfrank","26203",1.58169733333333,1.414,"REZ1",1.11859783121169
"Andrew Schultz","sa3010782",1.02625,NA,NA,NA
"Andrew Sears","sa3023133",0.0783,NA,NA,NA
"Andrew Shaps","sa3008430",0.0557,NA,NA,NA
"Andrew Suarez","18300",0.264416666666667,-3.537,"REZ1",-0.0747573273018566
"Andrew Taylor","sa3020873",0.0711,NA,NA,NA
"Andrew Vasquez","19482",2.61291666666667,3.051,"REZ1",0.856413197858625
"Andrew Walling","sa3020319",2.52475,NA,NA,NA
"Andrew Walters","33834",2.04193066666667,1.62,"REZ1",1.26045102880658
"Andrew Wantz","24933",0.881413436363636,1.631,"REZ1",0.540412897831782
"Andry Lara","sa3014716",3.62696,NA,NA,NA
"Andy Basora","sa3019168",0.088,NA,NA,NA
"Andy Fisher","sa1172135",0.0525,NA,NA,NA
"Andy Luis","sa3015633",0.0633,NA,NA,NA
"Andy Otero","sa506550",0.0596,NA,NA,NA
"Andy Rodriguez","sa3017620",0.0577,NA,NA,NA
"Andy Rodriguez","sa3020863",1.5297,NA,NA,NA
"Andy Santana","sa3002957",0.0586,NA,NA,NA
"Anel Cabrera","sa3021033",0.0614,NA,NA,NA
"Aneudis George","sa3016514",0.0613,NA,NA,NA
"Aneudis Mejia","sa3019960",0.0771,NA,NA,NA
"Aneudy Cortorreal","sa3009242",0.0566,NA,NA,NA
"Aneuris Rodriguez","sa3019393",0.0823,NA,NA,NA
"Aneuris Rosario","sa828343",0.0512,NA,NA,NA
"Aneury Lora","sa3019365",0.0782,NA,NA,NA
"Aneurys Zabala","20802",0.0475,NA,NA,NA
"Anfernny Reyes","sa3018807",0.0564,NA,NA,NA
"Angel Acevedo","sa917893",0.0517,NA,NA,NA
"Angel Alfonseca","sa3015308",0.0579,NA,NA,NA
"Angel Anazco","sa3021494",0.0586,NA,NA,NA
"Angel Bastardo","sa3009716",1.27645142857143,NA,NA,NA
"Angel Bello","sa3024272",0.0901,NA,NA,NA
"Angel Beltran","sa3024556",0.0926,NA,NA,NA
"Angel Camacho","sa3022175",0.0677,NA,NA,NA
"Angel Chivilli","26790",3.18925058823529,1.697,"REZ1",1.87934625116988
"Angel Cruz","sa3020988",0.0611,NA,NA,NA
"Angel Cuenca","sa3006414",0.0557,NA,NA,NA
"Angel De Jesus","22323",0.0519,NA,NA,NA
"Angel Felipe","21163",0.772428571428571,2.583,"REZ1",0.299043194513578
"Angel Gonzalez","sa3015160",0.0573,NA,NA,NA
"Angel Hernandez","sa3015363",0.0548,NA,NA,NA
"Angel Hernandez","sa3019189",0.0612,NA,NA,NA
"Angel Jimenez","sa3018287",0.0871,NA,NA,NA
"Angel Macuare","sa3003039",1.52985,NA,NA,NA
"Angel Perdomo","17759",2.65566517647059,1.275,"REZ1",2.08287464821223
"Angel Reyes","sa3006985",1.5313,NA,NA,NA
"Angel Roman","sa3018314",0.0656,NA,NA,NA
"Angel Rondon","22036",0.0517,NA,NA,NA
"Angel Sanchez","11776",0.0693,NA,NA,NA
"Angel Tello","sa3019121",0.0611,NA,NA,NA
"Angel Zerpa","22717",2.06568,1.949,"REZ1",1.05986659825552
"Angello Infante","sa916705",0.0571,NA,NA,NA
"Anibal Sanchez","3284",0.0742,NA,NA,NA
"Ankeily Feliz","sa3018803",0.07,NA,NA,NA
"Anthony Arguelles","sa3023266",0.0576,NA,NA,NA
"Anthony Banda","14706",2.05626823529412,1.74,"REZ1",1.18176335361731
"Anthony Bass","7982",0.723285714285714,2.409,"REZ1",0.300243135859574
"Anthony Bello","sa3019565",0.0607,NA,NA,NA
"Anthony Bender","19742",2.91968352941176,2.639,"REZ1",1.10635980652208
"Anthony Castro","19789",0.0496,NA,NA,NA
"Anthony Crespo","sa3023139",0.0913,NA,NA,NA
"Anthony Cruz","sa3019534",0.0778,NA,NA,NA
"Anthony DeSclafani","13050",3.90410470588235,5.046,"REZ1",0.773702874728964
"Anthony Escobar","sa3005691",0.0583,NA,NA,NA
"Anthony Flores","sa3019377",0.072,NA,NA,NA
"Anthony Garcia","sa3019661",0.0626,NA,NA,NA
"Anthony Gose","5097",1.72820833333333,2.762,"REZ1",0.625709027274922
"Anthony HoopiiTuionetoa","sa3015298",1.23216,NA,NA,NA
"Anthony Kay","20387",0.315142857142857,0.983,"REZ1",0.3205929370731
"Anthony Maldonado","26034",1.62942666666667,0.749,"REZ1",2.17546951490877
"Anthony Mendez","sa3015992",0.0582,NA,NA,NA
"Anthony Misiewicz","18152",1.26587635294118,1.661,"REZ1",0.762117009597337
"Anthony Molina","26952",1.981174,3.517,"REZ1",0.563313619562127
"Anthony Narvaez","sa3019521",0.0817,NA,NA,NA
"Anthony Perez","sa3016623",0.071,NA,NA,NA
"Anthony Simonelli","sa3017312",2.0266,NA,NA,NA
"Anthony Solometo","sa3018259",3.53615,NA,NA,NA
"Anthony Swarzak","7466",0.0511,NA,NA,NA
"Anthony Tomczak","sa3011763",0.0564,NA,NA,NA
"Anthony Veneziano","27453",2.80166117647059,1.673,"REZ1",1.67463310010197
"Anthony Vizcaya","sa657689",1.0253,NA,NA,NA
"Antoine Kelly","sa3011135",1.02695,NA,NA,NA
"Antoni Cuello","sa3015947",0.0615,NA,NA,NA
"Antonio Florido","sa3018890",0.0961,NA,NA,NA
"Antonio Jimenez","sa3008074",1.8614,NA,NA,NA
"Antonio Knowles","sa3017387",2.0273,NA,NA,NA
"Antonio Menendez","sa3018799",2.0257,NA,NA,NA
"Antonio Santos","20383",2.52425,NA,NA,NA
"Antonio Senzatela","15488",7.29525176470588,3.53,"REZ1",2.06664355940677
"Antonio Velez","sa3014850",0.0503,NA,NA,NA
"Antwone Kelly","sa3015489",0.0838,NA,NA,NA
"Anyelo Ovando","sa3015996",0.0564,NA,NA,NA
"Anyer Laureano","sa3019123",0.0576,NA,NA,NA
"Archie Bradley","12918",0.624642857142857,2.057,"REZ1",0.30366692131398
"Argenis Angulo","sa829470",0.0511,NA,NA,NA
"Argenis Aparicio","sa3021643",0.0853,NA,NA,NA
"Ariel Jurado","17030",0.0677,NA,NA,NA
"Arielbi Gonzalez","sa3016800",0.0789,NA,NA,NA
"Arij Fransen","sa3015369",0.055,NA,NA,NA
"Arlison Rodriguez","sa3018823",0.0739,NA,NA,NA
"Armando Vasquez","sa3018283",0.0543,NA,NA,NA
"Arnaldo Hernandez","sa828154",0.0515,NA,NA,NA
"Arodys Vizcaino","5498",0.049,NA,NA,NA
"Aroldis Chapman","10233",3.40509764705882,5.548,"REZ1",0.613752279570804
"Art Warren","18251",0.5262,NA,NA,NA
"Asa Lacy","sa3014423",0.0668,NA,NA,NA
"Asher Wojciechowski","10836",0.0736,NA,NA,NA
"Ashton Goudeau","15139",0.0568,NA,NA,NA
"Ashton Izzi","sa3022230",0.0849,NA,NA,NA
"Audry Lugo","sa3008710",0.0571,NA,NA,NA
"Augusto Calderon","sa3006406",0.0597,NA,NA,NA
"Austin Adams","13801",1.29827847058824,1.978,"REZ1",0.656359186343901
"Austin Aldeano","sa3016259",0.0884,NA,NA,NA
"Austin Amaral","sa3022903",0.0676,NA,NA,NA
"Austin Becker","sa3020465",0.0605,NA,NA,NA
"Austin Bergner","sa3011122",2.53545,NA,NA,NA
"Austin Brice","17237",1.02655,NA,NA,NA
"Austin Briggs","sa3007261",0.0574,NA,NA,NA
"Austin Cox","24604",1.648875,2.253,"REZ1",0.731857523302264
"Austin Davis","17117",1.23494854545455,1.715,"REZ1",0.720086615425391
"Austin Drury","sa3008043",0.0517,NA,NA,NA
"Austin Emener","sa3022799",0.0895,NA,NA,NA
"Austin Gomber","16561",10.5472823529412,10.283,"REZ1",1.02570089982896
"Austin Hansen","sa3006956",0.0618,NA,NA,NA
"Austin Hedges","12976",0,NA,NA,NA
"Austin Kitchen","27910",1.86420833333333,1.045,"REZ1",1.78393141945774
"Austin Krob","sa3020594",3.5315,NA,NA,NA
"Austin Lambright","sa3007236",0.0554,NA,NA,NA
"Austin Love","sa3017609",0.0734,NA,NA,NA
"Austin Peterson","sa3020868",4.5342,NA,NA,NA
"Austin Pope","sa3010816",2.0243,NA,NA,NA
"Austin Pruitt","15290",1.97829166666667,1.738,"REZ1",1.13825757575758
"Austin Roberts","sa3010254",1.52655,NA,NA,NA
"Austin Ross","sa3007817",0.0504,NA,NA,NA
"Austin Schulfer","sa3007585",1.5258,NA,NA,NA
"Austin Smith","sa3017071",1.0259,NA,NA,NA
"Austin Strickland","sa3023380",0.0554,NA,NA,NA
"Austin Temple","sa3020263",0.0573,NA,NA,NA
"Austin Troesser","sa3023281",0.0693,NA,NA,NA
"Austin Vernon","sa3017138",2.02635,NA,NA,NA
"Austin Voth","15047",2.14865636363636,3.225,"REZ1",0.666250035236082
"Austin Warner","sa3004494",0.0639,NA,NA,NA
"Austin Warren","24937",0.473765647058823,1.373,"REZ1",0.34505873784328
"Avery Short","sa3011712",0.0714,NA,NA,NA
"Avery Weems","sa3010256",0.0529,NA,NA,NA
"Ayendy Bravo","sa3024090",0.0844,NA,NA,NA
"Bailey Dees","sa3017946",3.035,NA,NA,NA
"Bailey Falter","20070",8.11632941176471,9.022,"REZ1",0.899615319415285
"Bailey Horn","27753",1.50313023529412,1.277,"REZ1",1.17707927587636
"Bailey Ober","21224",8.76929529411765,4.974,"REZ1",1.76302679817403
"Bailey Reid","sa3014867",0.0566,NA,NA,NA
"Baron Stuart","sa3020888",3.53535,NA,NA,NA
"Barrett Kent","sa3023082",0.0862,NA,NA,NA
"Barrett Loseke","sa3008243",0.0501,NA,NA,NA
"Bayant Melo","sa3022028",0.0978,NA,NA,NA
"Bayden Root","sa3023040",0.0556,NA,NA,NA
"Bear Bellomy","sa1170484",0.0523,NA,NA,NA
"Beau Brieske","26079",3.52169764705882,3.025,"REZ1",1.16419756927564
"Beau Burrows","18873",2.0289,NA,NA,NA
"Beau Sulser","23420",3.52515,NA,NA,NA
