"name","playerid","new_WAR","WAR","Source","WAR_adj_rate"
"Alexis Paulino","sa3019128",-0.0338911,NA,NA,NA
"Alexis Torres","sa3019375",-0.0303233,NA,NA,NA
"Alexuan Vega","sa3008334",-0.0190705,NA,NA,NA
"Alfonso Perez","sa3019659",-9.99029e-05,NA,NA,NA
"Alfred Morillo","sa3018870",-0.0143377,NA,NA,NA
"Alfred Vega","sa3006495",-0.0171427,NA,NA,NA
"Alfredi Jimenez","sa3006479",-9.99029e-05,NA,NA,NA
"Alfredo Romero","sa3018345",-9.99029e-05,NA,NA,NA
"Alfredo Ruiz","sa3017506",-0.015328,NA,NA,NA
"Alfredo Zarraga","sa3018276",-0.194899905,NA,NA,NA
"Ali Ascanio","sa3018306",-0.0365239,NA,NA,NA
"Alimber Santa","sa3015478",-0.2703707,NA,NA,NA
"Alison Zacarias","sa3022388",-9.99029e-05,NA,NA,NA
"Alix Hernandez","sa3021479",-0.0223813,NA,NA,NA
"Allan Hernandez","sa3011399",-0.0172812,NA,NA,NA
"Allan Saathoff","sa3020711",-0.011975,NA,NA,NA
"Allan Winans","21238",0.329986217654545,0.292,"REZ1",1.13008978648817
"Allen Facundo","sa3016071",-9.99029e-05,NA,NA,NA
"Alonzo Richardson","sa3015333",-9.99029e-05,NA,NA,NA
"Alonzo Tredwell","sa3023524",-9.99029e-05,NA,NA,NA
"Alvaro Benua","sa3018032",-0.0335336,NA,NA,NA
"Alvaro Gamez","sa3018854",-0.0306271,NA,NA,NA
"Alvaro Pineda","sa3019503",-9.99029e-05,NA,NA,NA
"Alvin Nova","sa3022153",-9.99029e-05,NA,NA,NA
"Amauri Otero","sa3019075",-9.99029e-05,NA,NA,NA
"Amilcar Chirinos","sa3017149",-0.0169861,NA,NA,NA
"Amir Garrett","14375",0.432889614545455,1.425,"REZ1",0.303782185645933
"Amos Willingham","26128",0.0652005134117647,0.776,"REZ1",0.0840212801697999
"Anders Tolhurst","sa3019818",0.0234783,NA,NA,NA
"Anderson Amarista","sa917061",-9.99029e-05,NA,NA,NA
"Anderson Beltre","sa3022002",-9.99029e-05,NA,NA,NA
"Anderson Bido","sa3004204",-0.027177545,NA,NA,NA
"Anderson Brito","sa3024232",-9.99029e-05,NA,NA,NA
"Anderson Cardenas","sa3020991",-9.99029e-05,NA,NA,NA
"Anderson Espinoza","18593",-0.0027836,NA,NA,NA
"Anderson Guevara","sa3019182",-9.99029e-05,NA,NA,NA
"Anderson Jerez","sa3021778",-0.0369552,NA,NA,NA
"Anderson Munoz","sa3007840",-0.00349611,NA,NA,NA
"Anderson Paulino","sa3007991",-0.129550405,NA,NA,NA
"Anderson Pilar","sa917899",0.0521181671428571,NA,NA,NA
"Anderson Severino","20582",-0.00216261,NA,NA,NA
"Andinson Ferrer","sa3018819",-0.0223895,NA,NA,NA
"Andre Granillo","sa3016913",-0.09939482,NA,NA,NA
"Andre Jackson","21298",0.135463614285714,0.48,"REZ1",0.282215863095238
"Andre Pallante","26108",1.76415764705882,2.446,"REZ1",0.721241883507287
"Andre Sanchez","sa3018297",-9.99029e-05,NA,NA,NA
"Andre Scrubb","20329",-0.2280318,NA,NA,NA
"Andres Cova","sa3024530",-9.99029e-05,NA,NA,NA
"Andres Diaz","sa3006159",-9.99029e-05,NA,NA,NA
"Andres Jimenez","sa3019648",-0.0347215,NA,NA,NA
"Andres Machado","14681",-0.138498214285714,-0.488,"REZ1",0.283807816159251
"Andres Munoz","20373",1.15381611764706,0.888,"REZ1",1.29934247482777
"Andres Nunez","sa3006796",-0.00232793,NA,NA,NA
"Andres Parra","sa3018329",-0.0320648,NA,NA,NA
"Andres Silvera","sa3016284",-9.99029e-05,NA,NA,NA
"Andres Sotillet","sa917861",-0.00238698,NA,NA,NA
"Andrew Abbott","29911",1.21529764705882,0.204,"REZ1",5.9573414071511
"Andrew Albers","7853",-9.99029e-05,NA,NA,NA
"Andrew Alvarez","sa3017531",0.24498804855,NA,NA,NA
"Andrew Baker","sa3017196",-0.200933645,NA,NA,NA
"Andrew Bash","sa3010259",0.06411204855,NA,NA,NA
"Andrew Bechtold","sa829787",-0.494149,NA,NA,NA
"Andrew Bellatti","10657",-0.0233405083333333,0.549,"REZ1",-0.0425145871281117
"Andrew Bolivar","sa3024521",-9.99029e-05,NA,NA,NA
"Andrew Cabezas","sa3007461",-0.00372617,NA,NA,NA
"Andrew Chafin","12988",0.174810235294118,0.062,"REZ1",2.81951992409867
"Andrew Dalquist","sa3011841",-0.22136705,NA,NA,NA
"Andrew Edwards","sa1170614",-0.0010537,NA,NA,NA
"Andrew Gross","sa3010127",-0.00984201,NA,NA,NA
"Andrew Heaney","15423",1.39094447058824,2.279,"REZ1",0.610331053351573
"Andrew Hoffmann","sa3017202",0.23126354855,NA,NA,NA
"Andrew Kittredge","12828",0.349143058823529,0.61,"REZ1",0.572365670202507
"Andrew Landry","sa3024982",-9.99029e-05,NA,NA,NA
"Andrew Lee","sa856275",-0.00334766,NA,NA,NA
"Andrew Magno","sa3010824",-0.11404788,NA,NA,NA
"Andrew Marrero","sa3016941",-0.322799265,NA,NA,NA
"Andrew McInvale","sa3011143",-0.00589687,NA,NA,NA
"Andrew Miller","6785",-0.00413334,NA,NA,NA
"Andrew Misiaszek","sa3010118",0.0252300655,NA,NA,NA
"Andrew Mitchell","sa3007801",-0.00552854,NA,NA,NA
"Andrew Moore","17553",-9.99029e-05,NA,NA,NA
"Andrew Moore","sa3016795",-0.10455012,NA,NA,NA
"Andrew Morris","sa3020569",0.2060298683,NA,NA,NA
"Andrew Nardi","25942",0.532125058823529,0.835,"REZ1",0.637275519549137
"Andrew Painter","sa3017880",0.802810285714286,NA,NA,NA
"Andrew Perez","sa3006640",-0.00484126,NA,NA,NA
"Andrew Politi","sa3007243",0.040473585,NA,NA,NA
"Andrew Quezada","sa3009858",-0.03860075145,NA,NA,NA
"Andrew Saalfrank","26203",0.0243248533333333,-0.03,"REZ1",-0.810828444444444
"Andrew Schultz","sa3010782",-0.251682515,NA,NA,NA
"Andrew Sears","sa3023133",-9.99029e-05,NA,NA,NA
"Andrew Shaps","sa3008430",-0.0175436,NA,NA,NA
"Andrew Suarez","18300",-0.0547743708333333,-0.022,"REZ1",2.48974412878788
"Andrew Taylor","sa3020873",-9.99029e-05,NA,NA,NA
"Andrew Vasquez","19482",-0.158283025,0.197,"REZ1",-0.803467131979695
"Andrew Walling","sa3020319",-0.19198049,NA,NA,NA
"Andrew Walters","33834",0.220690453333333,0.571,"REZ1",0.386498166958552
"Andrew Wantz","24933",0.105718387272727,0.307,"REZ1",0.344359567663607
"Andry Lara","sa3014716",0.08724668,NA,NA,NA
"Andy Basora","sa3019168",-9.99029e-05,NA,NA,NA
"Andy Fisher","sa1172135",-0.00619187,NA,NA,NA
"Andy Luis","sa3015633",-0.0358561,NA,NA,NA
"Andy Otero","sa506550",-0.00437412,NA,NA,NA
"Andy Rodriguez","sa3017620",-0.0231219,NA,NA,NA
"Andy Rodriguez","sa3020863",-0.2677527,NA,NA,NA
"Andy Santana","sa3002957",-0.023765,NA,NA,NA
"Anel Cabrera","sa3021033",-0.0308653,NA,NA,NA
"Aneudis George","sa3016514",-0.0332397,NA,NA,NA
"Aneudis Mejia","sa3019960",-9.99029e-05,NA,NA,NA
"Aneudy Cortorreal","sa3009242",-0.0192635,NA,NA,NA
"Aneuris Rodriguez","sa3019393",-9.99029e-05,NA,NA,NA
"Aneuris Rosario","sa828343",-0.00547224,NA,NA,NA
"Aneury Lora","sa3019365",-9.99029e-05,NA,NA,NA
"Aneurys Zabala","20802",0.0035497,NA,NA,NA
"Anfernny Reyes","sa3018807",-0.0191562,NA,NA,NA
"Angel Acevedo","sa917893",-0.00491078,NA,NA,NA
"Angel Alfonseca","sa3015308",-0.0236518,NA,NA,NA
"Angel Anazco","sa3021494",-0.0183712,NA,NA,NA
"Angel Bastardo","sa3009716",0.0785769285714286,NA,NA,NA
"Angel Bello","sa3024272",-9.99029e-05,NA,NA,NA
"Angel Beltran","sa3024556",-9.99029e-05,NA,NA,NA
"Angel Camacho","sa3022175",-0.029397,NA,NA,NA
"Angel Chivilli","26790",0.0939193647058824,0.404,"REZ1",0.23247367501456
"Angel Cruz","sa3020988",-0.0335531,NA,NA,NA
"Angel Cuenca","sa3006414",-0.0177078,NA,NA,NA
"Angel De Jesus","22323",-0.00597836,NA,NA,NA
"Angel Felipe","21163",0.128445692857143,0.44,"REZ1",0.291922029220779
"Angel Gonzalez","sa3015160",-0.0230403,NA,NA,NA
"Angel Hernandez","sa3015363",-0.0182352,NA,NA,NA
"Angel Hernandez","sa3019189",-0.0332666,NA,NA,NA
"Angel Jimenez","sa3018287",-9.99029e-05,NA,NA,NA
"Angel Macuare","sa3003039",0.01406883,NA,NA,NA
"Angel Perdomo","17759",0.173740376470588,0.028,"REZ1",6.20501344537815
"Angel Reyes","sa3006985",-0.325334,NA,NA,NA
"Angel Roman","sa3018314",-0.015429,NA,NA,NA
"Angel Rondon","22036",-0.00553534,NA,NA,NA
"Angel Sanchez","11776",-9.99029e-05,NA,NA,NA
"Angel Tello","sa3019121",-0.032963,NA,NA,NA
"Angel Zerpa","22717",0.424974588235294,0.852,"REZ1",0.498796465064899
"Angello Infante","sa916705",-0.0194182,NA,NA,NA
"Anibal Sanchez","3284",-9.99029e-05,NA,NA,NA
"Ankeily Feliz","sa3018803",-0.0321628,NA,NA,NA
"Anthony Arguelles","sa3023266",-0.0172334,NA,NA,NA
"Anthony Banda","14706",0.1311166,-0.265,"REZ1",-0.494779622641509
"Anthony Bass","7982",-0.0293204021428571,-0.104,"REZ1",0.281926943681319
"Anthony Bello","sa3019565",-0.0313281,NA,NA,NA
"Anthony Bender","19742",0.522074588235294,0.258,"REZ1",2.02354491564068
"Anthony Castro","19789",-0.00091192,NA,NA,NA
"Anthony Crespo","sa3023139",-9.99029e-05,NA,NA,NA
"Anthony Cruz","sa3019534",-9.99029e-05,NA,NA,NA
"Anthony DeSclafani","13050",0.519738588235294,1.005,"REZ1",0.517152824114721
"Anthony Escobar","sa3005691",-0.0232043,NA,NA,NA
"Anthony Flores","sa3019377",-9.99029e-05,NA,NA,NA
"Anthony Garcia","sa3019661",-0.0204833,NA,NA,NA
"Anthony Gose","5097",0.0194402625,0.143,"REZ1",0.135945891608392
"Anthony HoopiiTuionetoa","sa3015298",-0.05165568,NA,NA,NA
"Anthony Kay","20387",0.0465236228571429,0.161,"REZ1",0.288966601597161
"Anthony Maldonado","26034",-0.0265955533333333,-0.137,"REZ1",0.194128126520681
"Anthony Mendez","sa3015992",-0.0231308,NA,NA,NA
"Anthony Misiewicz","18152",0.0496353536470588,0.202,"REZ1",0.245719572510192
"Anthony Molina","26952",0.130456228235294,0.053,"REZ1",2.46143826859046
"Anthony Narvaez","sa3019521",-9.99029e-05,NA,NA,NA
"Anthony Perez","sa3016623",-0.0330706,NA,NA,NA
"Anthony Simonelli","sa3017312",-0.059240405,NA,NA,NA
"Anthony Solometo","sa3018259",0.13193804855,NA,NA,NA
"Anthony Swarzak","7466",-0.00327178,NA,NA,NA
"Anthony Tomczak","sa3011763",-0.017504,NA,NA,NA
"Anthony Veneziano","27453",0.174709164705882,0.733,"REZ1",0.238348110103523
"Anthony Vizcaya","sa657689",-0.121822395,NA,NA,NA
"Antoine Kelly","sa3011135",-0.030824575,NA,NA,NA
"Antoni Cuello","sa3015947",-0.0364354,NA,NA,NA
"Antonio Florido","sa3018890",-9.99029e-05,NA,NA,NA
"Antonio Jimenez","sa3008074",-0.0573085,NA,NA,NA
"Antonio Knowles","sa3017387",-0.24852707,NA,NA,NA
"Antonio Menendez","sa3018799",-0.240500965,NA,NA,NA
"Antonio Santos","20383",0.166873031,NA,NA,NA
"Antonio Senzatela","15488",0.873640470588235,0.311,"REZ1",2.80913334594288
"Antonio Velez","sa3014850",-0.0028814,NA,NA,NA
"Antwone Kelly","sa3015489",-9.99029e-05,NA,NA,NA
"Anyelo Ovando","sa3015996",-0.0182006,NA,NA,NA
"Anyer Laureano","sa3019123",-0.0188666,NA,NA,NA
"Archie Bradley","12918",-0.111552092857143,-0.38,"REZ1",0.293558139097744
"Argenis Angulo","sa829470",-0.00230864,NA,NA,NA
"Argenis Aparicio","sa3021643",-9.99029e-05,NA,NA,NA
"Ariel Jurado","17030",-9.99029e-05,NA,NA,NA
"Arielbi Gonzalez","sa3016800",-9.99029e-05,NA,NA,NA
"Arij Fransen","sa3015369",-0.0112892,NA,NA,NA
"Arlison Rodriguez","sa3018823",-0.0292496,NA,NA,NA
"Armando Vasquez","sa3018283",-0.0171715,NA,NA,NA
"Arnaldo Hernandez","sa828154",-0.00398391,NA,NA,NA
"Arodys Vizcaino","5498",0.00216749,NA,NA,NA
"Aroldis Chapman","10233",0.822970588235294,0.457,"REZ1",1.8008109151757
"Art Warren","18251",-0.011180515,NA,NA,NA
"Asa Lacy","sa3014423",-9.99029e-05,NA,NA,NA
"Asher Wojciechowski","10836",-9.99029e-05,NA,NA,NA
"Ashton Goudeau","15139",-0.00802419,NA,NA,NA
"Ashton Izzi","sa3022230",-9.99029e-05,NA,NA,NA
"Audry Lugo","sa3008710",-0.0195516,NA,NA,NA
"Augusto Calderon","sa3006406",-0.018826,NA,NA,NA
"Austin Adams","13801",0.01813874,-0.01,"REZ1",-1.813874
"Austin Aldeano","sa3016259",-9.99029e-05,NA,NA,NA
"Austin Amaral","sa3022903",-0.0175644,NA,NA,NA
"Austin Becker","sa3020465",-0.0190772,NA,NA,NA
"Austin Bergner","sa3011122",0.18527854855,NA,NA,NA
"Austin Brice","17237",-0.17696847,NA,NA,NA
"Austin Briggs","sa3007261",-0.00941578,NA,NA,NA
"Austin Cox","24604",0.170847708333333,0.386,"REZ1",0.442610643350604
"Austin Davis","17117",-0.0129850209090909,0.076,"REZ1",-0.170855538277512
"Austin Drury","sa3008043",-0.00694905,NA,NA,NA
"Austin Emener","sa3022799",-9.99029e-05,NA,NA,NA
"Austin Gomber","16561",0.871328470588235,1.048,"REZ1",0.83142029636282
"Austin Hansen","sa3006956",-0.00648908,NA,NA,NA
"Austin Hedges","12976",-0.141747,NA,NA,NA
"Austin Kitchen","27910",-0.0131983458333333,0.339,"REZ1",-0.0389331735496558
"Austin Krob","sa3020594",0.24056504855,NA,NA,NA
"Austin Lambright","sa3007236",-0.0143276,NA,NA,NA
"Austin Love","sa3017609",-9.99029e-05,NA,NA,NA
