"name","playerid","new_FIP","FIP","Source","FIP_adj_rate"
"Abrahan Tejada","sa3019146",7.27852,NA,NA,NA
"Accimias Morales","sa3018809",6.75246,NA,NA,NA
"Adam Boucher","sa3023128",5.50841,NA,NA,NA
"Adam Cimber","15288",4.59516,4.721,"REZ1",0.973344630374921
"Adam Conley","14457",3.96188,NA,NA,NA
"Adam Kloffenstein","24493",4.33127083333333,3.675,"REZ1",1.17857709750567
"Adam Kolarek","10843",4.137375,3.258,"REZ1",1.26991252302026
"Adam Laskey","sa3014851",4.692945,NA,NA,NA
"Adam Leverett","sa1169991",5.082125,NA,NA,NA
"Adam Macko","sa3011555",4.70980857142857,NA,NA,NA
"Adam Maier","sa3020883",5.24108,NA,NA,NA
"Adam Mazur","31900",4.49162117647059,3.822,"REZ1",1.1752017730169
"Adam McKillican","sa3017687",5.19189,NA,NA,NA
"Adam Morgan","12580",4.36987,NA,NA,NA
"Adam Oller","20132",5.20013454545455,4.799,"REZ1",1.08358711095115
"Adam Ottavino","1247",4.02345764705882,4.247,"REZ1",0.947364644939681
"Adam Plutko","15846",5.03449,NA,NA,NA
"Adam Scoggins","sa3017845",5.91725,NA,NA,NA
"Adam Scott","sa3006826",5.01872,NA,NA,NA
"Adam Seminaris","sa3015010",4.420345,NA,NA,NA
"Adam Serwinowski","sa3020626",6.11327,NA,NA,NA
"Adam Shoemaker","sa3017888",6.16046,NA,NA,NA
"Adam Smith","sa3017147",5.99437,NA,NA,NA
"Adam Stauffer","sa3005146",4.74072,NA,NA,NA
"Adam Stone","sa3020944",6.56845,NA,NA,NA
"Adam Tulloch","sa3020588",5.44786,NA,NA,NA
"Adam Wainwright","2233",4.92707142857143,5.011,"REZ1",0.983251133221199
"Adam Wolf","sa3007587",5.01306,NA,NA,NA
"Adan Moreno","sa3021537",6.44391,NA,NA,NA
"Adbert Alzolay","17859",4.05454166666667,3.949,"REZ1",1.02672617540306
"Adel Dilone","sa3018798",5.78215,NA,NA,NA
"Adenys Bautista","sa3007905",6.43934,NA,NA,NA
"Adilson Peralta","sa3018816",7.15869,NA,NA,NA
"Adisyn Coffey","sa3014738",4.73336,NA,NA,NA
"Adolfo Oviedo","sa3018882",6.91506,NA,NA,NA
"Adolfo Ramirez","sa3003015",5.09618,NA,NA,NA
"Adonis Medina","19903",4.511725,NA,NA,NA
"Adonis Villavicencio","sa3019070",6.20634,NA,NA,NA
"Adonys Perez","sa3020114",4.94866,NA,NA,NA
"Adrian Acosta","sa3018883",7.44709,NA,NA,NA
"Adrian Alcantara","sa974592",4.99699,NA,NA,NA
"Adrian Bohorquez","sa3021501",6.2423,NA,NA,NA
"Adrian Chaidez","sa3017417",5.52092,NA,NA,NA
"Adrian De Horta","sa737857",4.84605,NA,NA,NA
"Adrian Del Moral","sa3006816",6.30636,NA,NA,NA
"Adrian Delgado","sa3019379",7.87359,NA,NA,NA
"Adrian Florencio","sa3010569",5.88626,NA,NA,NA
"Adrian Heredia","sa3024791",6.72171,NA,NA,NA
"Adrian Hernandez","sa3006177",5.02681,NA,NA,NA
"Adrian Herrera","sa3023627",6.61672,NA,NA,NA
"Adrian Houser","12718",4.54196545454545,4.346,"REZ1",1.04509099276241
"Adrian Martinez","21023",4.68114583333333,4.892,"REZ1",0.956898167075497
"Adrian Martinez","sa3016049",7.19125,NA,NA,NA
"Adrian Morejon","20039",3.78749176470588,4.71,"REZ1",0.804138378918446
"Adrian Ogando","sa3017617",7.37375,NA,NA,NA
"Adrian Quintana","sa3016465",5.64722,NA,NA,NA
"Adrian Rodriguez","sa3015385",6.04239,NA,NA,NA
"Adrian Sampson","13339",5.10719,NA,NA,NA
"Adrian Santana","sa3018876",7.5787,NA,NA,NA
"Aidan Anderson","sa3011250",4.884315,NA,NA,NA
"Aidan Curry","sa3015334",5.87312,NA,NA,NA
"Aidan Maldonado","sa3020829",5.62315,NA,NA,NA
"Al Pesto","sa3021977",4.36222,NA,NA,NA
"Alain Pena","sa3019050",5.6958,NA,NA,NA
"Alan Busenitz","15239",4.92117083333333,5.038,"REZ1",0.976810407569141
"Alan Carter","sa3020817",4.5956,NA,NA,NA
"Alan Mundo","sa3005688",5.73154,NA,NA,NA
"Alan Perdomo","sa3006399",5.99329,NA,NA,NA
"Alan Rangel","sa877578",4.63872571428571,NA,NA,NA
"Alan Strong","sa3006768",4.69376,NA,NA,NA
"Alaska Abney","sa3017308",5.09033,NA,NA,NA
"Albert Abreu","17485",4.47237466666667,3.263,"REZ1",1.37063275104709
"Albert Breton","sa3009995",7.47124,NA,NA,NA
"Albert Polanco","sa3019660",7.0067,NA,NA,NA
"Albert Rivas","sa3018286",5.97111,NA,NA,NA
"Albert Suarez","6175",4.55567058823529,4.678,"REZ1",0.973850061615069
"Alberto Baldonado","11812",4.51488,NA,NA,NA
"Alberto Guerrero","sa872514",4.75957,NA,NA,NA
"Alberto Mota","sa3016712",5.7784,NA,NA,NA
"Alberto Pacheco","sa3015421",5.85948,NA,NA,NA
"Albertus Barber","sa1172728",4.67238,NA,NA,NA
"Aldrin Batista","sa3019119",5.65609,NA,NA,NA
"Aldry Acosta","sa3002794",4.85801,NA,NA,NA
"Alec Baker","sa3022794",4.93669,NA,NA,NA
"Alec Barger","sa3010566",5.229155,NA,NA,NA
"Alec Bettinger","20312",5.38452,NA,NA,NA
"Alec Gamboa","sa3011249",5.252015,NA,NA,NA
"Alec Kisena","sa875686",4.9869,NA,NA,NA
"Alec Marsh","27451",4.36241294117647,4.437,"REZ1",0.983189754603667
"Alec Mills","13834",6.03049285714286,9.163,"REZ1",0.658135202132801
"Alejandro Gomez","sa3017618",6.33432,NA,NA,NA
"Alejandro Hidalgo","sa3015151",6.20624,NA,NA,NA
"Alejandro Lugo","sa3009253",6.49115,NA,NA,NA
"Alejandro Manzano","sa3019125",5.91864,NA,NA,NA
"Alejandro Mateo","sa918495",4.60499,NA,NA,NA
"Alejandro Melean","sa3006815",5.11596,NA,NA,NA
"Alejandro Mendez","sa3011785",6.74207,NA,NA,NA
"Alejandro Ramirez","sa3021042",7.49107,NA,NA,NA
"Alejandro Rosario","sa3023538",4.58208,NA,NA,NA
"Alejandro Torres","sa3023265",4.87228,NA,NA,NA
"Alek Jacob","29628",4.27832,4.53,"REZ1",0.944441501103753
"Alek Manoah","26410",4.67302823529412,6.222,"REZ1",0.751049218144345
"Alemao Hernandez","sa3002788",4.95701,NA,NA,NA
"Alessandro Ercolani","sa3016714",5.41252,NA,NA,NA
"Alex Amalfi","sa3020489",5.33662,NA,NA,NA
"Alex Ayala Jr","sa3017141",6.08561,NA,NA,NA
"Alex Bustamante","sa3020631",6.29306,NA,NA,NA
"Alex Claudio","12890",4.70681,NA,NA,NA
"Alex Clemmey","sa3023421",5.76345,NA,NA,NA
"Alex Cobb","6562",4.03712941176471,5.4,"REZ1",0.747616557734205
"Alex Colome","6661",4.94520714285714,5.303,"REZ1",0.932530104253657
"Alex Cook","sa3020879",5.54478,NA,NA,NA
"Alex Cornwell","sa3017501",4.380812,NA,NA,NA
"Alex Faedo","19874",4.38213058823529,4.1,"REZ1",1.06881233859397
"Alex Garbrick","sa3017465",5.73236,NA,NA,NA
"Alex Hoppe","sa3020836",4.79719,NA,NA,NA
"Alex Lange","19883",3.67110235294118,3.151,"REZ1",1.16505945824855
"Alex Makarewich","sa3023642",6.66811,NA,NA,NA
"Alex Martinez","sa3015284",5.8173,NA,NA,NA
"Alex Mauricio","sa3004337",5.00202,NA,NA,NA
"Alex McFarlane","sa3020633",5.91478,NA,NA,NA
"Alex McKenney","sa3017209",6.51608,NA,NA,NA
"Alex Nolan","sa3010267",5.69508,NA,NA,NA
"Alex Pham","sa3017550",4.744305,NA,NA,NA
"Alex Phillips","sa3008595",4.48404,NA,NA,NA
"Alex Powers","sa621533",4.41589,NA,NA,NA
"Alex Rao","sa3020595",6.1581,NA,NA,NA
"Alex Reyes","15015",4.34476,NA,NA,NA
"Alex Santos II","sa3014684",5.392505,NA,NA,NA
"Alex Scherff","sa3005397",4.92666,NA,NA,NA
"Alex Segal","sa919036",4.56469,NA,NA,NA
"Alex Speas","21859",4.44580117647059,4.39,"REZ1",1.01271097413909
"Alex Troop","sa915638",5.00572,NA,NA,NA
"Alex Valdez","sa3005432",5.96564,NA,NA,NA
"Alex Valverde","sa3005207",5.28548,NA,NA,NA
"Alex Vesia","25007",3.87154235294118,4.773,"REZ1",0.811133952009465
"Alex Wells","19845",4.94221,NA,NA,NA
"Alex Williams","sa3020314",4.89386,NA,NA,NA
"Alex Wood","13781",4.73211294117647,5.017,"REZ1",0.943215655008266
"Alex Young","18333",4.45601647058824,3.982,"REZ1",1.11903979673235
"Alexander Agramonte","sa3021034",7.15604,NA,NA,NA
"Alexander Alberto","sa3015986",6.07154,NA,NA,NA
"Alexander Beltre","sa3015444",7.0405,NA,NA,NA
"Alexander Campos","sa3022221",6.77986,NA,NA,NA
"Alexander Cornielle","sa3011779",5.91868,NA,NA,NA
"Alexander De Los Santos","sa3023083",7.1618,NA,NA,NA
"Alexander Fuentes","sa3024072",6.90276,NA,NA,NA
"Alexander Johnson","sa3015278",7.33078,NA,NA,NA
"Alexander Vallecillo","sa3016034",6.22364,NA,NA,NA
"Alexis Cedano","sa3006641",6.3787,NA,NA,NA
"Alexis De La Cruz","sa3022007",7.56086,NA,NA,NA
"Alexis Diaz","21132",4.37821294117647,5.023,"REZ1",0.871633076085302
"Alexis Liebano","sa3019885",6.01502,NA,NA,NA
"Alexis Paulino","sa3019128",7.37146,NA,NA,NA
"Alexis Torres","sa3019375",7.07642,NA,NA,NA
"Alexuan Vega","sa3008334",6.02125,NA,NA,NA
"Alfonso Perez","sa3019659",7.19519,NA,NA,NA
"Alfred Morillo","sa3018870",5.41517,NA,NA,NA
"Alfred Vega","sa3006495",5.7453,NA,NA,NA
"Alfredi Jimenez","sa3006479",5.57832,NA,NA,NA
"Alfredo Romero","sa3018345",6.35376,NA,NA,NA
"Alfredo Ruiz","sa3017506",5.59428,NA,NA,NA
"Alfredo Zarraga","sa3018276",4.850285,NA,NA,NA
"Ali Ascanio","sa3018306",7.61471,NA,NA,NA
"Alimber Santa","sa3015478",5.549585,NA,NA,NA
"Alison Zacarias","sa3022388",7.06846,NA,NA,NA
"Alix Hernandez","sa3021479",5.927,NA,NA,NA
"Allan Hernandez","sa3011399",5.7085,NA,NA,NA
"Allan Saathoff","sa3020711",5.14072,NA,NA,NA
"Allan Winans","21238",4.50780545454545,4.449,"REZ1",1.0132176791516
"Allen Facundo","sa3016071",5.77046,NA,NA,NA
"Alonzo Richardson","sa3015333",6.24518,NA,NA,NA
"Alonzo Tredwell","sa3023524",5.95635,NA,NA,NA
"Alvaro Benua","sa3018032",7.3385,NA,NA,NA
"Alvaro Gamez","sa3018854",7.07126,NA,NA,NA
"Alvaro Pineda","sa3019503",7.0369,NA,NA,NA
"Alvin Nova","sa3022153",6.36611,NA,NA,NA
"Amauri Otero","sa3019075",7.2564,NA,NA,NA
"Amilcar Chirinos","sa3017149",5.80338,NA,NA,NA
"Amir Garrett","14375",4.20229272727273,4.27,"REZ1",0.984143495848414
"Amos Willingham","26128",4.58582823529412,5.032,"REZ1",0.911333115122043
"Anders Tolhurst","sa3019818",4.339,NA,NA,NA
"Anderson Amarista","sa917061",5.63096,NA,NA,NA
"Anderson Beltre","sa3022002",6.91288,NA,NA,NA
"Anderson Bido","sa3004204",4.641065,NA,NA,NA
"Anderson Brito","sa3024232",5.88019,NA,NA,NA
"Anderson Cardenas","sa3020991",7.01771,NA,NA,NA
"Anderson Espinoza","18593",4.57126,NA,NA,NA
"Anderson Guevara","sa3019182",7.06487,NA,NA,NA
"Anderson Jerez","sa3021778",7.65466,NA,NA,NA
"Anderson Munoz","sa3007840",4.63395,NA,NA,NA
"Anderson Paulino","sa3007991",4.770905,NA,NA,NA
"Anderson Pilar","sa917899",4.21669857142857,NA,NA,NA
"Anderson Severino","20582",4.73068,NA,NA,NA
"Andinson Ferrer","sa3018819",6.213,NA,NA,NA
"Andre Granillo","sa3016913",4.772538,NA,NA,NA
"Andre Jackson","21298",4.59551428571429,4.749,"REZ1",0.967680413921728
"Andre Pallante","26108",4.04584588235294,4.143,"REZ1",0.976549814712272
"Andre Sanchez","sa3018297",6.67102,NA,NA,NA
"Andre Scrubb","20329",5.581295,NA,NA,NA
"Andres Cova","sa3024530",6.85042,NA,NA,NA
"Andres Diaz","sa3006159",6.04758,NA,NA,NA
"Andres Jimenez","sa3019648",7.44808,NA,NA,NA
"Andres Machado","14681",4.79367857142857,6.243,"REZ1",0.767848561817807
"Andres Munoz","20373",3.00572470588235,3.754,"REZ1",0.800672537528597
"Andres Nunez","sa3006796",4.5321,NA,NA,NA
"Andres Parra","sa3018329",7.0753,NA,NA,NA
"Andres Silvera","sa3016284",6.75717,NA,NA,NA
"Andres Sotillet","sa917861",4.53729,NA,NA,NA
"Andrew Abbott","29911",4.75273058823529,5.212,"REZ1",0.911882307796488
"Andrew Albers","7853",5.01575,NA,NA,NA
"Andrew Alvarez","sa3017531",4.81612,NA,NA,NA
"Andrew Baker","sa3017196",5.113415,NA,NA,NA
"Andrew Bash","sa3010259",5.056495,NA,NA,NA
"Andrew Bechtold","sa829787",5.88733,NA,NA,NA
"Andrew Bellatti","10657",4.80470833333333,4.185,"REZ1",1.14807845479888
"Andrew Bolivar","sa3024521",6.91577,NA,NA,NA
"Andrew Cabezas","sa3007461",4.6551,NA,NA,NA
"Andrew Chafin","12988",4.06053529411765,4.772,"REZ1",0.850908485774863
"Andrew Dalquist","sa3011841",5.76437,NA,NA,NA
"Andrew Edwards","sa1170614",4.42024,NA,NA,NA
"Andrew Gross","sa3010127",5.06257,NA,NA,NA
"Andrew Heaney","15423",4.35050588235294,4.085,"REZ1",1.06499532003744
"Andrew Hoffmann","sa3017202",4.81003,NA,NA,NA
"Andrew Kittredge","12828",3.95972352941176,3.98,"REZ1",0.994905409399941
"Andrew Landry","sa3024982",6.48531,NA,NA,NA
"Andrew Lee","sa856275",4.62088,NA,NA,NA
"Andrew Magno","sa3010824",4.543485,NA,NA,NA
"Andrew Marrero","sa3016941",5.264455,NA,NA,NA
"Andrew McInvale","sa3011143",4.84567,NA,NA,NA
"Andrew Miller","6785",4.69097,NA,NA,NA
"Andrew Misiaszek","sa3010118",4.18408333333333,NA,NA,NA
"Andrew Mitchell","sa3007801",4.81314,NA,NA,NA
"Andrew Moore","17553",4.78228,NA,NA,NA
"Andrew Moore","sa3016795",5.01493,NA,NA,NA
"Andrew Morris","sa3020569",4.16378,NA,NA,NA
"Andrew Nardi","25942",3.61878470588235,3.547,"REZ1",1.02023814656959
"Andrew Painter","sa3017880",4.20664428571429,NA,NA,NA
"Andrew Perez","sa3006640",4.75338,NA,NA,NA
"Andrew Politi","sa3007243",4.555895,NA,NA,NA
"Andrew Quezada","sa3009858",5.44051,NA,NA,NA
"Andrew Saalfrank","26203",4.66683866666667,7.458,"REZ1",0.625749351926343
"Andrew Schultz","sa3010782",5.469215,NA,NA,NA
"Andrew Sears","sa3023133",5.73287,NA,NA,NA
"Andrew Shaps","sa3008430",5.88378,NA,NA,NA
"Andrew Suarez","18300",4.84448333333333,6.228,"REZ1",0.77785538428602
"Andrew Taylor","sa3020873",5.42104,NA,NA,NA
"Andrew Vasquez","19482",5.06742083333333,5.737,"REZ1",0.883287577711928
"Andrew Walling","sa3020319",4.98622,NA,NA,NA
"Andrew Walters","33834",3.91563466666667,3.337,"REZ1",1.17339966037359
"Andrew Wantz","24933",4.52642727272727,4.222,"REZ1",1.07210499117178
"Andry Lara","sa3014716",4.819596,NA,NA,NA
"Andy Basora","sa3019168",6.76097,NA,NA,NA
"Andy Fisher","sa1172135",5.16466,NA,NA,NA
"Andy Luis","sa3015633",7.66566,NA,NA,NA
"Andy Otero","sa506550",4.73379,NA,NA,NA
"Andy Rodriguez","sa3017620",6.22267,NA,NA,NA
"Andy Rodriguez","sa3020863",5.52887,NA,NA,NA
"Andy Santana","sa3002957",6.445,NA,NA,NA
"Anel Cabrera","sa3021033",7.30532,NA,NA,NA
"Aneudis George","sa3016514",7.31142,NA,NA,NA
"Aneudis Mejia","sa3019960",6.51756,NA,NA,NA
"Aneudy Cortorreal","sa3009242",6.03865,NA,NA,NA
"Aneuris Rodriguez","sa3019393",6.9038,NA,NA,NA
"Aneuris Rosario","sa828343",4.70632,NA,NA,NA
"Aneury Lora","sa3019365",5.92897,NA,NA,NA
"Aneurys Zabala","20802",4.01788,NA,NA,NA
"Anfernny Reyes","sa3018807",6.0596,NA,NA,NA
"Angel Acevedo","sa917893",4.75861,NA,NA,NA
"Angel Alfonseca","sa3015308",6.43472,NA,NA,NA
"Angel Anazco","sa3021494",6.02497,NA,NA,NA
"Angel Bastardo","sa3009716",4.40827285714286,NA,NA,NA
"Angel Bello","sa3024272",6.87876,NA,NA,NA
"Angel Beltran","sa3024556",7.31147,NA,NA,NA
"Angel Camacho","sa3022175",6.9585,NA,NA,NA
"Angel Chivilli","26790",4.54322,4.528,"REZ1",1.00336130742049
"Angel Cruz","sa3020988",7.3403,NA,NA,NA
"Angel Cuenca","sa3006414",5.80432,NA,NA,NA
"Angel De Jesus","22323",4.85377,NA,NA,NA
"Angel Felipe","21163",4.16539285714286,4.268,"REZ1",0.975958963716696
"Angel Gonzalez","sa3015160",6.27776,NA,NA,NA
"Angel Hernandez","sa3015363",5.81967,NA,NA,NA
"Angel Hernandez","sa3019189",7.3139,NA,NA,NA
"Angel Jimenez","sa3018287",6.54191,NA,NA,NA
"Angel Macuare","sa3003039",4.95182,NA,NA,NA
"Angel Perdomo","17759",3.95209176470588,4.742,"REZ1",0.833422978638946
"Angel Reyes","sa3006985",5.38734,NA,NA,NA
"Angel Roman","sa3018314",5.79076,NA,NA,NA
"Angel Rondon","22036",4.81374,NA,NA,NA
"Angel Sanchez","11776",4.89806,NA,NA,NA
"Angel Tello","sa3019121",7.28595,NA,NA,NA
"Angel Zerpa","22717",3.75022352941176,3.095,"REZ1",1.21170388672432
"Angello Infante","sa916705",6.05259,NA,NA,NA
"Anibal Sanchez","3284",5.27287,NA,NA,NA
"Ankeily Feliz","sa3018803",7.21231,NA,NA,NA
"Anthony Arguelles","sa3023266",5.95446,NA,NA,NA
"Anthony Banda","14706",4.13906,4.124,"REZ1",1.00365179437439
"Anthony Bass","7982",4.17487142857143,3.913,"REZ1",1.0669234420065
"Anthony Bello","sa3019565",7.1356,NA,NA,NA
"Anthony Bender","19742",3.58696588235294,3.707,"REZ1",0.967619606785255
"Anthony Castro","19789",4.4069,NA,NA,NA
"Anthony Crespo","sa3023139",6.84146,NA,NA,NA
"Anthony Cruz","sa3019534",6.87614,NA,NA,NA
"Anthony DeSclafani","13050",4.50302470588235,4.073,"REZ1",1.10557935327335
"Anthony Escobar","sa3005691",6.39412,NA,NA,NA
"Anthony Flores","sa3019377",5.75084,NA,NA,NA
"Anthony Garcia","sa3019661",5.99874,NA,NA,NA
"Anthony Gose","5097",4.0252625,4.201,"REZ1",0.958167698167103
"Anthony HoopiiTuionetoa","sa3015298",4.820116,NA,NA,NA
"Anthony Kay","20387",4.34592857142857,4.815,"REZ1",0.902581219403649
"Anthony Maldonado","26034",4.78495333333333,5.313,"REZ1",0.900612334525378
"Anthony Mendez","sa3015992",6.38746,NA,NA,NA
"Anthony Misiewicz","18152",4.17879176470588,4.086,"REZ1",1.02270968299214
"Anthony Molina","26952",4.44938470588235,4.768,"REZ1",0.93317632254244
"Anthony Narvaez","sa3019521",6.07528,NA,NA,NA
"Anthony Perez","sa3016623",7.29586,NA,NA,NA
"Anthony Simonelli","sa3017312",4.665625,NA,NA,NA
"Anthony Solometo","sa3018259",5.0258,NA,NA,NA
"Anthony Swarzak","7466",4.6151,NA,NA,NA
"Anthony Tomczak","sa3011763",5.61666,NA,NA,NA
"Anthony Veneziano","27453",4.27290117647059,3.452,"REZ1",1.23780451230318
"Anthony Vizcaya","sa657689",4.790555,NA,NA,NA
"Antoine Kelly","sa3011135",5.06775,NA,NA,NA
"Antoni Cuello","sa3015947",7.48421,NA,NA,NA
"Antonio Florido","sa3018890",7.27077,NA,NA,NA
"Antonio Jimenez","sa3008074",4.558776,NA,NA,NA
"Antonio Knowles","sa3017387",5.33654,NA,NA,NA
"Antonio Menendez","sa3018799",4.899435,NA,NA,NA
"Antonio Santos","20383",4.34695,NA,NA,NA
"Antonio Senzatela","15488",4.92351058823529,5.93,"REZ1",0.830271600039679
"Antonio Velez","sa3014850",4.58076,NA,NA,NA
"Antwone Kelly","sa3015489",6.02061,NA,NA,NA
"Anyelo Ovando","sa3015996",5.67712,NA,NA,NA
"Anyer Laureano","sa3019123",6.36317,NA,NA,NA
"Archie Bradley","12918",4.68711428571429,4.671,"REZ1",1.00344985778512
"Argenis Angulo","sa829470",4.50971,NA,NA,NA
"Argenis Aparicio","sa3021643",6.88881,NA,NA,NA
"Ariel Jurado","17030",4.71689,NA,NA,NA
"Arielbi Gonzalez","sa3016800",6.1358,NA,NA,NA
"Arij Fransen","sa3015369",5.64541,NA,NA,NA
"Arlison Rodriguez","sa3018823",6.94591,NA,NA,NA
"Armando Vasquez","sa3018283",5.6611,NA,NA,NA
"Arnaldo Hernandez","sa828154",4.69915,NA,NA,NA
"Arodys Vizcaino","5498",4.18078,NA,NA,NA
"Aroldis Chapman","10233",3.53856117647059,4.695,"REZ1",0.753687151537931
"Art Warren","18251",4.721525,NA,NA,NA
"Asa Lacy","sa3014423",5.1115,NA,NA,NA
"Asher Wojciechowski","10836",5.27124,NA,NA,NA
"Ashton Goudeau","15139",5.33728,NA,NA,NA
"Ashton Izzi","sa3022230",6.17248,NA,NA,NA
"Audry Lugo","sa3008710",6.06462,NA,NA,NA
"Augusto Calderon","sa3006406",6.21082,NA,NA,NA
"Austin Adams","13801",4.39636352941177,4.297,"REZ1",1.0231239305124
"Austin Aldeano","sa3016259",7.04884,NA,NA,NA
"Austin Amaral","sa3022903",5.98346,NA,NA,NA
"Austin Becker","sa3020465",6.37508,NA,NA,NA
"Austin Bergner","sa3011122",4.78423,NA,NA,NA
"Austin Brice","17237",5.140835,NA,NA,NA
"Austin Briggs","sa3007261",5.15739,NA,NA,NA
"Austin Cox","24604",4.77912916666667,5.257,"REZ1",0.909098186544924
"Austin Davis","17117",4.87502363636364,5.828,"REZ1",0.836483122231235
"Austin Drury","sa3008043",4.9387,NA,NA,NA
"Austin Emener","sa3022799",6.28248,NA,NA,NA
"Austin Gomber","16561",5.00150470588235,5.131,"REZ1",0.974762172263175
"Austin Hansen","sa3006956",4.89891,NA,NA,NA
"Austin Hedges","12976",6.15155,NA,NA,NA
"Austin Kitchen","27910",4.72779583333333,5.45,"REZ1",0.867485474006116
"Austin Krob","sa3020594",4.72284,NA,NA,NA
"Austin Lambright","sa3007236",5.70298,NA,NA,NA
"Austin Love","sa3017609",5.3312,NA,NA,NA
"Austin Peterson","sa3020868",4.634005,NA,NA,NA
"Austin Pope","sa3010816",4.269835,NA,NA,NA
"Austin Pruitt","15290",5.108925,4.916,"REZ1",1.03924430431245
"Austin Roberts","sa3010254",4.596265,NA,NA,NA
"Austin Ross","sa3007817",4.78989,NA,NA,NA
"Austin Schulfer","sa3007585",4.583105,NA,NA,NA
"Austin Smith","sa3017071",5.30555,NA,NA,NA
"Austin Strickland","sa3023380",5.40049,NA,NA,NA
"Austin Temple","sa3020263",6.16291,NA,NA,NA
"Austin Troesser","sa3023281",5.47718,NA,NA,NA
"Austin Vernon","sa3017138",5.19021,NA,NA,NA
"Austin Voth","15047",4.2455,4.002,"REZ1",1.06084457771114
"Austin Warner","sa3004494",4.87128,NA,NA,NA
"Austin Warren","24937",4.16780823529412,3.139,"REZ1",1.3277503138879
"Avery Short","sa3011712",5.30474,NA,NA,NA
"Avery Weems","sa3010256",4.33359,NA,NA,NA
"Ayendy Bravo","sa3024090",7.1371,NA,NA,NA
"Bailey Dees","sa3017946",5.28884,NA,NA,NA
"Bailey Falter","20070",4.52569058823529,4.556,"REZ1",0.993347363528379
"Bailey Horn","27753",4.56285411764706,4.306,"REZ1",1.05965028277916
"Bailey Ober","21224",4.07424470588235,4.535,"REZ1",0.898400155652118
"Bailey Reid","sa3014867",6.00346,NA,NA,NA
"Baron Stuart","sa3020888",5.474855,NA,NA,NA
"Barrett Kent","sa3023082",6.42888,NA,NA,NA
"Barrett Loseke","sa3008243",4.79522,NA,NA,NA
"Bayant Melo","sa3022028",7.45225,NA,NA,NA
"Bayden Root","sa3023040",5.66046,NA,NA,NA
"Bear Bellomy","sa1170484",4.89797,NA,NA,NA
"Beau Brieske","26079",4.22715882352941,5.141,"REZ1",0.822244470634004
"Beau Burrows","18873",5.334995,NA,NA,NA
