"name","playerid","new_W","W","Source","W_adj_rate"
"Abraham Parra","sa3022369",0.0311,NA,NA,NA
"Abrahan Tejada","sa3019146",0.0365,NA,NA,NA
"Accimias Morales","sa3018809",0.0335,NA,NA,NA
"Adam Boucher","sa3023128",0.0431,NA,NA,NA
"Adam Cimber","15288",1.4726,2.543,"REZ1",0.579079826976013
"Adam Conley","14457",0.0508,NA,NA,NA
"Adam Kloffenstein","24493",2.3775,1.641,"REZ1",1.44881170018282
"Adam Kolarek","10843",1.57816666666667,4.35,"REZ1",0.3627969348659
"Adam Laskey","sa3014851",1.5241,NA,NA,NA
"Adam Leverett","sa1169991",2.5226,NA,NA,NA
"Adam Macko","sa3011555",0.850614714285714,NA,NA,NA
"Adam Maier","sa3020883",0.052,NA,NA,NA
"Adam Mazur","31900",2.50009411764706,3.004,"REZ1",0.832255032505679
"Adam McKillican","sa3017687",0.0417,NA,NA,NA
"Adam Morgan","12580",0.0484,NA,NA,NA
"Adam Oller","20132",2.49358181818182,4.916,"REZ1",0.507237961387677
"Adam Ottavino","1247",2.28973294117647,2.631,"REZ1",0.870289981442976
"Adam Plutko","15846",1.5232,NA,NA,NA
"Adam Scoggins","sa3017845",0.0419,NA,NA,NA
"Adam Scott","sa3006826",0.0505,NA,NA,NA
"Adam Seminaris","sa3015010",2.02685,NA,NA,NA
"Adam Serwinowski","sa3020626",0.0413,NA,NA,NA
"Adam Shoemaker","sa3017888",0.0435,NA,NA,NA
"Adam Smith","sa3017147",0.0409,NA,NA,NA
"Adam Stauffer","sa3005146",0.0477,NA,NA,NA
"Adam Stone","sa3020944",0.0403,NA,NA,NA
"Adam Tulloch","sa3020588",0.043,NA,NA,NA
"Adam Wainwright","2233",3.294,11.4,"REZ1",0.288947368421053
"Adam Wolf","sa3007587",1.5248,NA,NA,NA
"Adan Moreno","sa3021537",0.0404,NA,NA,NA
"Adbert Alzolay","17859",1.94704166666667,1.549,"REZ1",1.25696686034
"Adel Dilone","sa3018798",0.042,NA,NA,NA
"Adenys Bautista","sa3007905",0.0395,NA,NA,NA
"Adilson Peralta","sa3018816",0.0381,NA,NA,NA
"Adisyn Coffey","sa3014738",1.02145,NA,NA,NA
"Adolfo Oviedo","sa3018882",0.0322,NA,NA,NA
"Adolfo Ramirez","sa3003015",0.0476,NA,NA,NA
"Adonis Medina","19903",2.02385,NA,NA,NA
"Adonis Villavicencio","sa3019070",0.0407,NA,NA,NA
"Adonys Perez","sa3020114",0.0529,NA,NA,NA
"Adrian Acosta","sa3018883",0.0262,NA,NA,NA
"Adrian Alcantara","sa974592",0.0489,NA,NA,NA
"Adrian Bohorquez","sa3021501",0.0366,NA,NA,NA
"Adrian Chaidez","sa3017417",0.0464,NA,NA,NA
"Adrian De Horta","sa737857",0.0485,NA,NA,NA
"Adrian Del Moral","sa3006816",0.0404,NA,NA,NA
"Adrian Delgado","sa3019379",0.0349,NA,NA,NA
"Adrian Florencio","sa3010569",0.0415,NA,NA,NA
"Adrian Heredia","sa3024791",0.0326,NA,NA,NA
"Adrian Hernandez","sa3006177",1.0227,NA,NA,NA
"Adrian Herrera","sa3023627",0.0357,NA,NA,NA
"Adrian Houser","12718",2.14972127272727,3.296,"REZ1",0.652221259929391
"Adrian Martinez","21023",2.184375,2.988,"REZ1",0.731049196787149
"Adrian Martinez","sa3016049",0.0288,NA,NA,NA
"Adrian Morejon","20039",3.21338705882353,4.382,"REZ1",0.73331516632212
"Adrian Ogando","sa3017617",0.0352,NA,NA,NA
"Adrian Quintana","sa3016465",0.0411,NA,NA,NA
"Adrian Rodriguez","sa3015385",0.0417,NA,NA,NA
"Adrian Sampson","13339",2.52525,NA,NA,NA
"Adrian Santana","sa3018876",0.0331,NA,NA,NA
"Aidan Anderson","sa3011250",2.0238,NA,NA,NA
"Aidan Curry","sa3015334",0.0432,NA,NA,NA
"Aidan Maldonado","sa3020829",0.0425,NA,NA,NA
"Al Pesto","sa3021977",0.0485,NA,NA,NA
"Alain Pena","sa3019050",0.0449,NA,NA,NA
"Alan Busenitz","15239",1.56695833333333,1.785,"REZ1",0.877847805788982
"Alan Carter","sa3020817",0.047,NA,NA,NA
"Alan Mundo","sa3005688",0.0421,NA,NA,NA
"Alan Perdomo","sa3006399",0.0376,NA,NA,NA
"Alan Rangel","sa877578",1.931579,NA,NA,NA
"Alan Strong","sa3006768",0.0475,NA,NA,NA
"Alaska Abney","sa3017308",1.02215,NA,NA,NA
"Albert Abreu","17485",0.704615866666667,2.173,"REZ1",0.32425948765148
"Albert Breton","sa3009995",0.0359,NA,NA,NA
"Albert Polanco","sa3019660",0.0303,NA,NA,NA
"Albert Rivas","sa3018286",0.0431,NA,NA,NA
"Albert Suarez","6175",4.34478941176471,5.018,"REZ1",0.865840855273955
"Alberto Baldonado","11812",0.0483,NA,NA,NA
"Alberto Guerrero","sa872514",0.0452,NA,NA,NA
"Alberto Mota","sa3016712",0.0425,NA,NA,NA
"Alberto Pacheco","sa3015421",0.0374,NA,NA,NA
"Albertus Barber","sa1172728",0.0466,NA,NA,NA
"Aldrin Batista","sa3019119",0.0405,NA,NA,NA
"Aldry Acosta","sa3002794",0.0459,NA,NA,NA
"Alec Baker","sa3022794",0.0477,NA,NA,NA
"Alec Barger","sa3010566",1.0211,NA,NA,NA
"Alec Bettinger","20312",0.0445,NA,NA,NA
"Alec Gamboa","sa3011249",2.0263,NA,NA,NA
"Alec Kisena","sa875686",0.0542,NA,NA,NA
"Alec Marsh","27451",6.45379882352941,8.441,"REZ1",0.764577517300013
"Alec Mills","13834",0.390571428571429,1.252,"REZ1",0.311958010041077
"Alejandro Gomez","sa3017618",0.0412,NA,NA,NA
"Alejandro Hidalgo","sa3015151",0.0375,NA,NA,NA
"Alejandro Lugo","sa3009253",0.0396,NA,NA,NA
"Alejandro Manzano","sa3019125",0.0406,NA,NA,NA
"Alejandro Mateo","sa918495",0.0476,NA,NA,NA
"Alejandro Melean","sa3006815",1.0226,NA,NA,NA
"Alejandro Mendez","sa3011785",0.0394,NA,NA,NA
"Alejandro Ramirez","sa3021042",0.036,NA,NA,NA
"Alejandro Rosario","sa3023538",0.0558,NA,NA,NA
"Alejandro Torres","sa3023265",0.5236,NA,NA,NA
"Alek Jacob","29628",1.92024823529412,1.806,"REZ1",1.06326037391701
"Alek Manoah","26410",1.96580435294118,3.819,"REZ1",0.51474321889007
"Alemao Hernandez","sa3002788",0.0503,NA,NA,NA
"Alessandro Ercolani","sa3016714",0.0433,NA,NA,NA
"Alex Amalfi","sa3020489",0.0442,NA,NA,NA
"Alex Ayala Jr","sa3017141",0.0415,NA,NA,NA
"Alex Bustamante","sa3020631",0.0414,NA,NA,NA
"Alex Claudio","12890",0.0466,NA,NA,NA
"Alex Clemmey","sa3023421",0.0434,NA,NA,NA
"Alex Cobb","6562",5.27878705882353,4.814,"REZ1",1.09654903590019
"Alex Colome","6661",2.13578571428571,7.368,"REZ1",0.289873196835738
"Alex Cook","sa3020879",0.0454,NA,NA,NA
"Alex Cornwell","sa3017501",1.08112,NA,NA,NA
"Alex Faedo","19874",2.77762235294118,1.715,"REZ1",1.61960487051964
"Alex Garbrick","sa3017465",0.042,NA,NA,NA
"Alex Hoppe","sa3020836",1.52305,NA,NA,NA
"Alex Lange","19883",2.48285294117647,2.615,"REZ1",0.949465751883928
"Alex Makarewich","sa3023642",0.0392,NA,NA,NA
"Alex Martinez","sa3015284",0.0416,NA,NA,NA
"Alex Mauricio","sa3004337",1.02305,NA,NA,NA
"Alex McFarlane","sa3020633",0.0446,NA,NA,NA
"Alex McKenney","sa3017209",0.039,NA,NA,NA
"Alex Nolan","sa3010267",0.0421,NA,NA,NA
"Alex Pham","sa3017550",2.5262,NA,NA,NA
"Alex Phillips","sa3008595",0.0476,NA,NA,NA
"Alex Powers","sa621533",0.0478,NA,NA,NA
"Alex Rao","sa3020595",0.0417,NA,NA,NA
"Alex Reyes","15015",0.0488,NA,NA,NA
"Alex Santos II","sa3014684",2.02365,NA,NA,NA
"Alex Scherff","sa3005397",0.045,NA,NA,NA
"Alex Segal","sa919036",0.0499,NA,NA,NA
"Alex Speas","21859",1.45679529411765,2.991,"REZ1",0.487059610203159
"Alex Troop","sa915638",2.0252,NA,NA,NA
"Alex Valdez","sa3005432",0.0411,NA,NA,NA
"Alex Valverde","sa3005207",0.048,NA,NA,NA
"Alex Vesia","25007",3.83830352941176,4.142,"REZ1",0.926678785468799
"Alex Wells","19845",0.0457,NA,NA,NA
"Alex Williams","sa3020314",0.0457,NA,NA,NA
"Alex Wood","13781",3.64976235294118,3.461,"REZ1",1.05453983037884
"Alex Young","18333",1.03868282352941,0.751,"REZ1",1.38306634291533
"Alexander Agramonte","sa3021034",0.0327,NA,NA,NA
"Alexander Alberto","sa3015986",0.0407,NA,NA,NA
"Alexander Beltre","sa3015444",0.0378,NA,NA,NA
"Alexander Campos","sa3022221",0.0321,NA,NA,NA
"Alexander Cornielle","sa3011779",0.0423,NA,NA,NA
"Alexander De Los Santos","sa3023083",0.0283,NA,NA,NA
"Alexander Fuentes","sa3024072",0.0305,NA,NA,NA
"Alexander Johnson","sa3015278",0.0367,NA,NA,NA
"Alexander Vallecillo","sa3016034",0.0384,NA,NA,NA
"Alexis Cedano","sa3006641",0.0395,NA,NA,NA
"Alexis De La Cruz","sa3022007",0.0341,NA,NA,NA
"Alexis Diaz","21132",3.34743529411765,1.489,"REZ1",2.24810966696954
"Alexis Liebano","sa3019885",0.0416,NA,NA,NA
"Alexis Paulino","sa3019128",0.0341,NA,NA,NA
"Alexis Torres","sa3019375",0.0333,NA,NA,NA
"Alexuan Vega","sa3008334",0.0413,NA,NA,NA
"Alfonso Perez","sa3019659",0.0283,NA,NA,NA
"Alfred Morillo","sa3018870",0.0441,NA,NA,NA
"Alfred Vega","sa3006495",0.0442,NA,NA,NA
"Alfredi Jimenez","sa3006479",0.0442,NA,NA,NA
"Alfredo Romero","sa3018345",0.0372,NA,NA,NA
"Alfredo Ruiz","sa3017506",0.0435,NA,NA,NA
"Alfredo Zarraga","sa3018276",1.5233,NA,NA,NA
"Ali Ascanio","sa3018306",0.0356,NA,NA,NA
"Alimber Santa","sa3015478",1.02325,NA,NA,NA
"Alison Zacarias","sa3022388",0.0293,NA,NA,NA
"Alix Hernandez","sa3021479",0.0399,NA,NA,NA
"Allan Hernandez","sa3011399",0.0412,NA,NA,NA
"Allan Saathoff","sa3020711",0.0435,NA,NA,NA
"Allan Winans","21238",1.66187218181818,0.872,"REZ1",1.90581672226856
"Allen Facundo","sa3016071",0.0469,NA,NA,NA
"Alonzo Richardson","sa3015333",0.036,NA,NA,NA
"Alonzo Tredwell","sa3023524",0.0428,NA,NA,NA
"Alvaro Benua","sa3018032",0.0366,NA,NA,NA
"Alvaro Gamez","sa3018854",0.0343,NA,NA,NA
"Alvaro Pineda","sa3019503",0.0298,NA,NA,NA
"Alvin Nova","sa3022153",0.0366,NA,NA,NA
"Amauri Otero","sa3019075",0.0317,NA,NA,NA
"Amilcar Chirinos","sa3017149",0.0427,NA,NA,NA
"Amir Garrett","14375",1.90859636363636,4.448,"REZ1",0.429090909090909
"Amos Willingham","26128",2.65579894117647,4.289,"REZ1",0.619211690645015
"Anders Tolhurst","sa3019818",2.02415,NA,NA,NA
"Anderson Amarista","sa917061",0.0438,NA,NA,NA
"Anderson Beltre","sa3022002",0.0308,NA,NA,NA
"Anderson Bido","sa3004204",0.5241,NA,NA,NA
"Anderson Brito","sa3024232",0.0431,NA,NA,NA
"Anderson Cardenas","sa3020991",0.0328,NA,NA,NA
"Anderson Espinoza","18593",0.0475,NA,NA,NA
"Anderson Guevara","sa3019182",0.0322,NA,NA,NA
"Anderson Jerez","sa3021778",0.0308,NA,NA,NA
"Anderson Munoz","sa3007840",0.0469,NA,NA,NA
"Anderson Paulino","sa3007991",1.52325,NA,NA,NA
"Anderson Pilar","sa917899",2.03942428571429,NA,NA,NA
"Anderson Severino","20582",0.0446,NA,NA,NA
"Andinson Ferrer","sa3018819",0.0423,NA,NA,NA
"Andre Granillo","sa3016913",1.53888,NA,NA,NA
"Andre Jackson","21298",0.179928571428571,0.503,"REZ1",0.357710877591593
"Andre Pallante","26108",7.46283529411765,5.631,"REZ1",1.32531260772823
"Andre Sanchez","sa3018297",0.0338,NA,NA,NA
"Andre Scrubb","20329",0.52325,NA,NA,NA
"Andres Cova","sa3024530",0.0328,NA,NA,NA
"Andres Diaz","sa3006159",0.0396,NA,NA,NA
"Andres Jimenez","sa3019648",0.036,NA,NA,NA
"Andres Machado","14681",0.351,1.107,"REZ1",0.317073170731707
"Andres Munoz","20373",4.60494823529412,3.765,"REZ1",1.22309382079525
"Andres Nunez","sa3006796",0.0482,NA,NA,NA
"Andres Parra","sa3018329",0.0372,NA,NA,NA
"Andres Silvera","sa3016284",0.0312,NA,NA,NA
"Andres Sotillet","sa917861",0.0471,NA,NA,NA
"Andrew Abbott","29911",7.26016117647059,3.445,"REZ1",2.10744881755315
"Andrew Albers","7853",0.049,NA,NA,NA
"Andrew Alvarez","sa3017531",3.02645,NA,NA,NA
"Andrew Baker","sa3017196",1.02345,NA,NA,NA
"Andrew Bash","sa3010259",1.52445,NA,NA,NA
"Andrew Bechtold","sa829787",2,NA,NA,NA
"Andrew Bellatti","10657",1.528375,4.054,"REZ1",0.377004193389245
"Andrew Bolivar","sa3024521",0.0309,NA,NA,NA
"Andrew Cabezas","sa3007461",0.0467,NA,NA,NA
"Andrew Chafin","12988",2.50956823529412,1.25,"REZ1",2.00765458823529
"Andrew Dalquist","sa3011841",1.02,NA,NA,NA
"Andrew Edwards","sa1170614",0.0486,NA,NA,NA
"Andrew Gross","sa3010127",0.0455,NA,NA,NA
"Andrew Heaney","15423",7.03323764705882,6.691,"REZ1",1.05114895337899
"Andrew Hoffmann","sa3017202",2.02515,NA,NA,NA
"Andrew Kittredge","12828",4.06450823529412,3.262,"REZ1",1.24601723951383
"Andrew Landry","sa3024982",0.0391,NA,NA,NA
"Andrew Lee","sa856275",0.0469,NA,NA,NA
"Andrew Magno","sa3010824",2.52365,NA,NA,NA
"Andrew Marrero","sa3016941",1.52275,NA,NA,NA
"Andrew McInvale","sa3011143",0.046,NA,NA,NA
"Andrew Miller","6785",0.0467,NA,NA,NA
"Andrew Misiaszek","sa3010118",2.052385,NA,NA,NA
"Andrew Mitchell","sa3007801",0.0464,NA,NA,NA
"Andrew Moore","17553",0.0523,NA,NA,NA
"Andrew Moore","sa3016795",1.499,NA,NA,NA
"Andrew Morris","sa3020569",1.24974566666667,NA,NA,NA
"Andrew Nardi","25942",2.78176235294118,1.958,"REZ1",1.42071621702818
"Andrew Painter","sa3017880",3.47020714285714,NA,NA,NA
"Andrew Perez","sa3006640",0.0477,NA,NA,NA
"Andrew Politi","sa3007243",2.02375,NA,NA,NA
"Andrew Quezada","sa3009858",1.5207,NA,NA,NA
"Andrew Saalfrank","26203",1.8584296,1.872,"REZ1",0.992750854700855
"Andrew Schultz","sa3010782",1.02265,NA,NA,NA
"Andrew Sears","sa3023133",0.0429,NA,NA,NA
"Andrew Shaps","sa3008430",0.042,NA,NA,NA
"Andrew Suarez","18300",1.0815,1.368,"REZ1",0.790570175438596
"Andrew Taylor","sa3020873",0.0477,NA,NA,NA
"Andrew Vasquez","19482",1.802375,3.196,"REZ1",0.563947121401752
"Andrew Walling","sa3020319",1.5242,NA,NA,NA
"Andrew Walters","33834",2.87747866666667,2.843,"REZ1",1.01212756477899
"Andrew Wantz","24933",1.09018072727273,2.844,"REZ1",0.383326556706304
"Andry Lara","sa3014716",2.60342,NA,NA,NA
"Andy Basora","sa3019168",0.0327,NA,NA,NA
"Andy Fisher","sa1172135",0.0453,NA,NA,NA
"Andy Luis","sa3015633",0.0343,NA,NA,NA
"Andy Otero","sa506550",0.0499,NA,NA,NA
"Andy Rodriguez","sa3017620",0.04,NA,NA,NA
"Andy Rodriguez","sa3020863",1.02185,NA,NA,NA
"Andy Santana","sa3002957",0.0391,NA,NA,NA
"Anel Cabrera","sa3021033",0.0362,NA,NA,NA
"Aneudis George","sa3016514",0.0363,NA,NA,NA
"Aneudis Mejia","sa3019960",0.0369,NA,NA,NA
"Aneudy Cortorreal","sa3009242",0.0411,NA,NA,NA
"Aneuris Rodriguez","sa3019393",0.0345,NA,NA,NA
"Aneuris Rosario","sa828343",0.0466,NA,NA,NA
"Aneury Lora","sa3019365",0.0396,NA,NA,NA
"Aneurys Zabala","20802",0.0504,NA,NA,NA
"Anfernny Reyes","sa3018807",0.0413,NA,NA,NA
"Angel Acevedo","sa917893",0.0461,NA,NA,NA
"Angel Alfonseca","sa3015308",0.0398,NA,NA,NA
"Angel Anazco","sa3021494",0.042,NA,NA,NA
"Angel Bastardo","sa3009716",1.302433,NA,NA,NA
"Angel Bello","sa3024272",0.0312,NA,NA,NA
"Angel Beltran","sa3024556",0.0275,NA,NA,NA
"Angel Camacho","sa3022175",0.0369,NA,NA,NA
"Angel Chivilli","26790",2.32551764705882,0.714,"REZ1",3.25702751688911
"Angel Cruz","sa3020988",0.0365,NA,NA,NA
"Angel Cuenca","sa3006414",0.0421,NA,NA,NA
"Angel De Jesus","22323",0.0459,NA,NA,NA
"Angel Felipe","21163",0.798071428571429,2.669,"REZ1",0.299015147460258
"Angel Gonzalez","sa3015160",0.0404,NA,NA,NA
"Angel Hernandez","sa3015363",0.0429,NA,NA,NA
"Angel Hernandez","sa3019189",0.0364,NA,NA,NA
"Angel Jimenez","sa3018287",0.0347,NA,NA,NA
"Angel Macuare","sa3003039",1.02265,NA,NA,NA
"Angel Perdomo","17759",2.19393294117647,0.559,"REZ1",3.92474586972535
"Angel Reyes","sa3006985",1.02225,NA,NA,NA
"Angel Roman","sa3018314",0.0416,NA,NA,NA
"Angel Rondon","22036",0.0462,NA,NA,NA
"Angel Sanchez","11776",0.0512,NA,NA,NA
"Angel Tello","sa3019121",0.0365,NA,NA,NA
"Angel Zerpa","22717",2.91638117647059,3.439,"REZ1",0.848031746574757
"Angello Infante","sa916705",0.0406,NA,NA,NA
"Anibal Sanchez","3284",0.0475,NA,NA,NA
"Ankeily Feliz","sa3018803",0.0346,NA,NA,NA
"Anthony Arguelles","sa3023266",0.0401,NA,NA,NA
"Anthony Banda","14706",2.88349058823529,2.917,"REZ1",0.988512371695336
"Anthony Bass","7982",0.849714285714286,2.852,"REZ1",0.297936285313564
"Anthony Bello","sa3019565",0.037,NA,NA,NA
"Anthony Bender","19742",3.06462,2.818,"REZ1",1.08751596877218
"Anthony Castro","19789",0.0482,NA,NA,NA
"Anthony Crespo","sa3023139",0.0313,NA,NA,NA
"Anthony Cruz","sa3019534",0.0353,NA,NA,NA
"Anthony DeSclafani","13050",3.13961058823529,3.744,"REZ1",0.838571204122675
"Anthony Escobar","sa3005691",0.0394,NA,NA,NA
"Anthony Flores","sa3019377",0.0436,NA,NA,NA
"Anthony Garcia","sa3019661",0.0433,NA,NA,NA
"Anthony Gose","5097",2.25558333333333,3.396,"REZ1",0.664188260698861
"Anthony HoopiiTuionetoa","sa3015298",1.17838,NA,NA,NA
"Anthony Kay","20387",0.871357142857143,2.925,"REZ1",0.297899877899878
"Anthony Maldonado","26034",2.15052,1.814,"REZ1",1.18551267916207
"Anthony Mendez","sa3015992",0.0395,NA,NA,NA
"Anthony Misiewicz","18152",1.39878094117647,2.857,"REZ1",0.48959780930223
"Anthony Molina","26952",1.33657764705882,1.713,"REZ1",0.780255485731946
"Anthony Narvaez","sa3019521",0.0381,NA,NA,NA
"Anthony Perez","sa3016623",0.034,NA,NA,NA
"Anthony Simonelli","sa3017312",1.5233,NA,NA,NA
"Anthony Solometo","sa3018259",2.52425,NA,NA,NA
"Anthony Swarzak","7466",0.0468,NA,NA,NA
"Anthony Tomczak","sa3011763",0.0414,NA,NA,NA
"Anthony Veneziano","27453",2.95240470588235,2.938,"REZ1",1.00490289512674
"Anthony Vizcaya","sa657689",0.5236,NA,NA,NA
"Antoine Kelly","sa3011135",0.5219,NA,NA,NA
"Antoni Cuello","sa3015947",0.0361,NA,NA,NA
"Antonio Florido","sa3018890",0.0267,NA,NA,NA
"Antonio Jimenez","sa3008074",1.44732,NA,NA,NA
"Antonio Knowles","sa3017387",1.524,NA,NA,NA
"Antonio Menendez","sa3018799",1.5232,NA,NA,NA
"Antonio Santos","20383",2.52465,NA,NA,NA
"Antonio Senzatela","15488",4.81480941176471,4.528,"REZ1",1.06334130118478
"Antonio Velez","sa3014850",0.0475,NA,NA,NA
"Antwone Kelly","sa3015489",0.0377,NA,NA,NA
"Anyelo Ovando","sa3015996",0.0414,NA,NA,NA
"Anyer Laureano","sa3019123",0.0401,NA,NA,NA
"Archie Bradley","12918",0.749214285714286,2.507,"REZ1",0.298848937261382
"Argenis Angulo","sa829470",0.0467,NA,NA,NA
"Argenis Aparicio","sa3021643",0.0325,NA,NA,NA
"Ariel Jurado","17030",0.0536,NA,NA,NA
"Arielbi Gonzalez","sa3016800",0.0392,NA,NA,NA
"Arij Fransen","sa3015369",0.0428,NA,NA,NA
"Arlison Rodriguez","sa3018823",0.0355,NA,NA,NA
"Armando Vasquez","sa3018283",0.0435,NA,NA,NA
"Arnaldo Hernandez","sa828154",0.0463,NA,NA,NA
"Arodys Vizcaino","5498",0.0489,NA,NA,NA
"Aroldis Chapman","10233",4.53978117647059,5.734,"REZ1",0.7917302365662
"Art Warren","18251",1.0227,NA,NA,NA
"Asa Lacy","sa3014423",0.0479,NA,NA,NA
"Asher Wojciechowski","10836",0.048,NA,NA,NA
"Ashton Goudeau","15139",0.0409,NA,NA,NA
"Ashton Izzi","sa3022230",0.0373,NA,NA,NA
"Audry Lugo","sa3008710",0.0406,NA,NA,NA
"Augusto Calderon","sa3006406",0.0412,NA,NA,NA
"Austin Adams","13801",0.888430588235294,0.06,"REZ1",14.8071764705882
"Austin Aldeano","sa3016259",0.0307,NA,NA,NA
"Austin Amaral","sa3022903",0.0393,NA,NA,NA
"Austin Becker","sa3020465",0.0371,NA,NA,NA
"Austin Bergner","sa3011122",1.52515,NA,NA,NA
"Austin Brice","17237",0.52235,NA,NA,NA
"Austin Briggs","sa3007261",0.046,NA,NA,NA
"Austin Cox","24604",1.35741666666667,0.523,"REZ1",2.59544295729764
"Austin Davis","17117",1.18707145454545,2.142,"REZ1",0.554188354129531
"Austin Drury","sa3008043",0.0461,NA,NA,NA
"Austin Emener","sa3022799",0.033,NA,NA,NA
"Austin Gomber","16561",6.24438235294118,4.509,"REZ1",1.38487078131319
"Austin Hansen","sa3006956",0.0481,NA,NA,NA
"Austin Hedges","12976",0,NA,NA,NA
"Austin Kitchen","27910",1.879875,1.158,"REZ1",1.62338082901554
"Austin Krob","sa3020594",3.02895,NA,NA,NA
"Austin Lambright","sa3007236",0.0424,NA,NA,NA
"Austin Love","sa3017609",0.0482,NA,NA,NA
"Austin Peterson","sa3020868",3.52645,NA,NA,NA
"Austin Pope","sa3010816",2.5246,NA,NA,NA
"Austin Pruitt","15290",1.264625,2.475,"REZ1",0.510959595959596
"Austin Roberts","sa3010254",1.52235,NA,NA,NA
"Austin Ross","sa3007817",0.0474,NA,NA,NA
"Austin Schulfer","sa3007585",1.52455,NA,NA,NA
"Austin Smith","sa3017071",1.0239,NA,NA,NA
"Austin Strickland","sa3023380",0.0423,NA,NA,NA
"Austin Temple","sa3020263",0.0404,NA,NA,NA
"Austin Troesser","sa3023281",0.0494,NA,NA,NA
"Austin Vernon","sa3017138",1.52255,NA,NA,NA
"Austin Voth","15047",1.78756,2.493,"REZ1",0.71703168872844
"Austin Warner","sa3004494",0.0508,NA,NA,NA
"Austin Warren","24937",0.915246470588235,2.053,"REZ1",0.445809289132117
"Avery Short","sa3011712",0.0499,NA,NA,NA
"Avery Weems","sa3010256",0.0525,NA,NA,NA
"Ayendy Bravo","sa3024090",0.0311,NA,NA,NA
"Bailey Dees","sa3017946",2.52565,NA,NA,NA
"Bailey Falter","20070",5.48594470588235,3.999,"REZ1",1.37182913375403
"Bailey Horn","27753",1.72660988235294,2.468,"REZ1",0.699598817809133
"Bailey Ober","21224",9.45452941176471,6.711,"REZ1",1.40881081981295
"Bailey Reid","sa3014867",0.0411,NA,NA,NA
"Baron Stuart","sa3020888",2.5254,NA,NA,NA
"Barrett Kent","sa3023082",0.0361,NA,NA,NA
"Barrett Loseke","sa3008243",0.0477,NA,NA,NA
"Bayant Melo","sa3022028",0.0251,NA,NA,NA
"Bayden Root","sa3023040",0.0422,NA,NA,NA
"Bear Bellomy","sa1170484",0.0455,NA,NA,NA
"Beau Brieske","26079",3.34021764705882,4.258,"REZ1",0.784456939187136
"Beau Burrows","18873",1.52215,NA,NA,NA
"Beau Sulser","23420",2.0238,NA,NA,NA
"Beck Way","sa3014462",2.02285,NA,NA,NA
