"name","playerid","new_G","G","Source","G_adj_rate"
"Adonys Perez","sa3020114",0.1829,NA,NA,NA
"Adrian Acosta","sa3018883",0.267,NA,NA,NA
"Adrian Alcantara","sa974592",0.389,NA,NA,NA
"Adrian Bohorquez","sa3021501",0.2299,NA,NA,NA
"Adrian Chaidez","sa3017417",0.4113,NA,NA,NA
"Adrian De Horta","sa737857",0.5663,NA,NA,NA
"Adrian Del Moral","sa3006816",1,NA,NA,NA
"Adrian Delgado","sa3019379",1,NA,NA,NA
"Adrian Florencio","sa3010569",0.2365,NA,NA,NA
"Adrian Heredia","sa3024791",0.1754,NA,NA,NA
"Adrian Hernandez","sa3006177",18.5,NA,NA,NA
"Adrian Herrera","sa3023627",0.4566,NA,NA,NA
"Adrian Houser","12718",13.4118381818182,19.772,"REZ1",0.678324811947106
"Adrian Martinez","21023",14.04575,19.361,"REZ1",0.725466143277723
"Adrian Martinez","sa3016049",0.2826,NA,NA,NA
"Adrian Morejon","20039",58.2201882352941,54.404,"REZ1",1.07014536128399
"Adrian Ogando","sa3017617",1,NA,NA,NA
"Adrian Quintana","sa3016465",1,NA,NA,NA
"Adrian Rodriguez","sa3015385",1,NA,NA,NA
"Adrian Sampson","13339",11.11,NA,NA,NA
"Adrian Santana","sa3018876",0.7939,NA,NA,NA
"Aidan Anderson","sa3011250",18.42,NA,NA,NA
"Aidan Curry","sa3015334",0.1994,NA,NA,NA
"Aidan Maldonado","sa3020829",1,NA,NA,NA
"Al Pesto","sa3021977",1,NA,NA,NA
"Alain Pena","sa3019050",0.2521,NA,NA,NA
"Alan Busenitz","15239",21.7163333333333,20.298,"REZ1",1.06987552139784
"Alan Carter","sa3020817",1,NA,NA,NA
"Alan Mundo","sa3005688",1,NA,NA,NA
"Alan Perdomo","sa3006399",0.8796,NA,NA,NA
"Alan Rangel","sa877578",26.8828714285714,NA,NA,NA
"Alan Strong","sa3006768",0.8681,NA,NA,NA
"Alaska Abney","sa3017308",19.5,NA,NA,NA
"Albert Abreu","17485",12.8479146666667,25.921,"REZ1",0.495656597610689
"Albert Breton","sa3009995",1,NA,NA,NA
"Albert Polanco","sa3019660",0.1919,NA,NA,NA
"Albert Rivas","sa3018286",1,NA,NA,NA
"Albert Suarez","6175",44.6145176470588,21.457,"REZ1",2.07925234874674
"Alberto Baldonado","11812",1,NA,NA,NA
"Alberto Guerrero","sa872514",1,NA,NA,NA
"Alberto Mota","sa3016712",0.9011,NA,NA,NA
"Alberto Pacheco","sa3015421",0.1919,NA,NA,NA
"Albertus Barber","sa1172728",1,NA,NA,NA
"Aldrin Batista","sa3019119",0.1754,NA,NA,NA
"Aldry Acosta","sa3002794",1,NA,NA,NA
"Alec Baker","sa3022794",0.7164,NA,NA,NA
"Alec Barger","sa3010566",19,NA,NA,NA
"Alec Bettinger","20312",0.6702,NA,NA,NA
"Alec Gamboa","sa3011249",11.6467,NA,NA,NA
"Alec Kisena","sa875686",0.2266,NA,NA,NA
"Alec Marsh","27451",30.4819529411765,24.834,"REZ1",1.22742824116842
"Alec Mills","13834",4.29657142857143,12.538,"REZ1",0.342683955062325
"Alejandro Gomez","sa3017618",1,NA,NA,NA
"Alejandro Hidalgo","sa3015151",0.3775,NA,NA,NA
"Alejandro Lugo","sa3009253",0.8606,NA,NA,NA
"Alejandro Manzano","sa3019125",0.3742,NA,NA,NA
"Alejandro Mateo","sa918495",0.9134,NA,NA,NA
"Alejandro Melean","sa3006815",9.5,NA,NA,NA
"Alejandro Mendez","sa3011785",1,NA,NA,NA
"Alejandro Ramirez","sa3021042",1,NA,NA,NA
"Alejandro Rosario","sa3023538",0.1862,NA,NA,NA
"Alejandro Torres","sa3023265",20,NA,NA,NA
"Alek Jacob","29628",40.3195647058823,35.219,"REZ1",1.14482423424522
"Alek Manoah","26410",12.1820729411765,17.312,"REZ1",0.70367796564097
"Alemao Hernandez","sa3002788",0.2562,NA,NA,NA
"Alessandro Ercolani","sa3016714",0.3816,NA,NA,NA
"Alex Amalfi","sa3020489",1,NA,NA,NA
"Alex Ayala Jr","sa3017141",0.2546,NA,NA,NA
"Alex Bustamante","sa3020631",1,NA,NA,NA
"Alex Claudio","12890",1,NA,NA,NA
"Alex Clemmey","sa3023421",0.1754,NA,NA,NA
"Alex Cobb","6562",18.2114823529412,19.253,"REZ1",0.945903617770798
"Alex Colome","6661",10.0014285714286,32.505,"REZ1",0.307688926978267
"Alex Cook","sa3020879",0.1754,NA,NA,NA
"Alex Cornwell","sa3017501",10.8,NA,NA,NA
"Alex Faedo","19874",46.0907411764706,34.457,"REZ1",1.33763070425372
"Alex Garbrick","sa3017465",1,NA,NA,NA
"Alex Hoppe","sa3020836",18,NA,NA,NA
"Alex Lange","19883",37.8355764705882,37.551,"REZ1",1.00757839925936
"Alex Makarewich","sa3023642",0.2942,NA,NA,NA
"Alex Martinez","sa3015284",1,NA,NA,NA
"Alex Mauricio","sa3004337",17,NA,NA,NA
"Alex McFarlane","sa3020633",0.1754,NA,NA,NA
"Alex McKenney","sa3017209",1,NA,NA,NA
"Alex Nolan","sa3010267",1,NA,NA,NA
"Alex Pham","sa3017550",12.5877,NA,NA,NA
"Alex Phillips","sa3008595",1,NA,NA,NA
"Alex Powers","sa621533",1,NA,NA,NA
"Alex Rao","sa3020595",1,NA,NA,NA
"Alex Reyes","15015",1,NA,NA,NA
"Alex Santos II","sa3014684",6.1034,NA,NA,NA
"Alex Scherff","sa3005397",1,NA,NA,NA
"Alex Segal","sa919036",1,NA,NA,NA
"Alex Speas","21859",19.6966823529412,26.844,"REZ1",0.733746176163805
"Alex Troop","sa915638",10.6875,NA,NA,NA
"Alex Valdez","sa3005432",1,NA,NA,NA
"Alex Valverde","sa3005207",0.2513,NA,NA,NA
"Alex Vesia","25007",57.3341647058824,51.432,"REZ1",1.11475666328127
"Alex Wells","19845",1,NA,NA,NA
"Alex Williams","sa3020314",0.4212,NA,NA,NA
"Alex Wood","13781",13.7310823529412,16.992,"REZ1",0.808091004763487
"Alex Young","18333",24.7483058823529,26.079,"REZ1",0.948974496044823
"Alexander Agramonte","sa3021034",0.5819,NA,NA,NA
"Alexander Alberto","sa3015986",1,NA,NA,NA
"Alexander Beltre","sa3015444",1,NA,NA,NA
"Alexander Campos","sa3022221",0.2018,NA,NA,NA
"Alexander Cornielle","sa3011779",0.1919,NA,NA,NA
"Alexander De Los Santos","sa3023083",0.2109,NA,NA,NA
"Alexander Fuentes","sa3024072",0.1903,NA,NA,NA
"Alexander Johnson","sa3015278",1,NA,NA,NA
"Alexander Vallecillo","sa3016034",0.2562,NA,NA,NA
"Alexis Cedano","sa3006641",1,NA,NA,NA
"Alexis De La Cruz","sa3022007",0.7419,NA,NA,NA
"Alexis Diaz","21132",59.9728705882353,43.65,"REZ1",1.37394892527458
"Alexis Liebano","sa3019885",1,NA,NA,NA
"Alexis Paulino","sa3019128",0.7914,NA,NA,NA
"Alexis Torres","sa3019375",0.7708,NA,NA,NA
"Alexuan Vega","sa3008334",1,NA,NA,NA
"Alfonso Perez","sa3019659",0.2332,NA,NA,NA
"Alfred Morillo","sa3018870",1,NA,NA,NA
"Alfred Vega","sa3006495",1,NA,NA,NA
"Alfredi Jimenez","sa3006479",0.2645,NA,NA,NA
"Alfredo Romero","sa3018345",0.2653,NA,NA,NA
"Alfredo Ruiz","sa3017506",1,NA,NA,NA
"Alfredo Zarraga","sa3018276",22.46165,NA,NA,NA
"Ali Ascanio","sa3018306",1,NA,NA,NA
"Alimber Santa","sa3015478",10.8351,NA,NA,NA
"Alison Zacarias","sa3022388",0.1936,NA,NA,NA
"Alix Hernandez","sa3021479",0.8186,NA,NA,NA
"Allan Hernandez","sa3011399",1,NA,NA,NA
"Allan Saathoff","sa3020711",1,NA,NA,NA
"Allan Winans","21238",11.0543509090909,12.037,"REZ1",0.918364285876124
"Allen Facundo","sa3016071",0.1985,NA,NA,NA
"Alonzo Richardson","sa3015333",0.2002,NA,NA,NA
"Alonzo Tredwell","sa3023524",0.2092,NA,NA,NA
"Alvaro Benua","sa3018032",1,NA,NA,NA
"Alvaro Gamez","sa3018854",0.5242,NA,NA,NA
"Alvaro Pineda","sa3019503",0.229,NA,NA,NA
"Alvin Nova","sa3022153",0.3008,NA,NA,NA
"Amauri Otero","sa3019075",0.4376,NA,NA,NA
"Amilcar Chirinos","sa3017149",1,NA,NA,NA
"Amir Garrett","14375",25.3918363636364,41.349,"REZ1",0.614085863349449
"Amos Willingham","26128",35.9218470588235,30.717,"REZ1",1.16944516257524
"Anders Tolhurst","sa3019818",19.5,NA,NA,NA
"Anderson Amarista","sa917061",0.3222,NA,NA,NA
"Anderson Beltre","sa3022002",0.2068,NA,NA,NA
"Anderson Bido","sa3004204",14.9299,NA,NA,NA
"Anderson Brito","sa3024232",0.2785,NA,NA,NA
"Anderson Cardenas","sa3020991",0.4846,NA,NA,NA
"Anderson Espinoza","18593",1,NA,NA,NA
"Anderson Guevara","sa3019182",0.4311,NA,NA,NA
"Anderson Jerez","sa3021778",0.6562,NA,NA,NA
"Anderson Munoz","sa3007840",1,NA,NA,NA
"Anderson Paulino","sa3007991",21,NA,NA,NA
"Anderson Pilar","sa917899",41.6697,NA,NA,NA
"Anderson Severino","20582",1,NA,NA,NA
"Andinson Ferrer","sa3018819",1,NA,NA,NA
"Andre Granillo","sa3016913",21,NA,NA,NA
"Andre Jackson","21298",4.26964285714286,13.326,"REZ1",0.3203994339744
"Andre Pallante","26108",36.9037411764706,30.617,"REZ1",1.205334983064
"Andre Sanchez","sa3018297",0.2167,NA,NA,NA
"Andre Scrubb","20329",10.5,NA,NA,NA
"Andres Cova","sa3024530",0.1919,NA,NA,NA
"Andres Diaz","sa3006159",0.3956,NA,NA,NA
"Andres Jimenez","sa3019648",1,NA,NA,NA
"Andres Machado","14681",6.814,21.349,"REZ1",0.319171858166659
"Andres Munoz","20373",62.2537647058824,65.605,"REZ1",0.948917989572172
"Andres Nunez","sa3006796",0.9044,NA,NA,NA
"Andres Parra","sa3018329",0.7419,NA,NA,NA
"Andres Silvera","sa3016284",0.3659,NA,NA,NA
"Andres Sotillet","sa917861",1,NA,NA,NA
"Andrew Abbott","29911",24.4870823529412,24.048,"REZ1",1.01825858087746
"Andrew Albers","7853",0.4649,NA,NA,NA
"Andrew Alvarez","sa3017531",12.0877,NA,NA,NA
"Andrew Baker","sa3017196",20.5,NA,NA,NA
"Andrew Bash","sa3010259",13.64295,NA,NA,NA
"Andrew Bechtold","sa829787",28,NA,NA,NA
"Andrew Bellatti","10657",24.1301666666667,32.281,"REZ1",0.74750369154198
"Andrew Bolivar","sa3024521",0.2068,NA,NA,NA
"Andrew Cabezas","sa3007461",1,NA,NA,NA
"Andrew Chafin","12988",52.4956,49.398,"REZ1",1.06270699218592
"Andrew Dalquist","sa3011841",14,NA,NA,NA
"Andrew Edwards","sa1170614",1,NA,NA,NA
"Andrew Gross","sa3010127",0.8161,NA,NA,NA
"Andrew Heaney","15423",30.4264,20.087,"REZ1",1.51473092049584
"Andrew Hoffmann","sa3017202",12.6615,NA,NA,NA
"Andrew Kittredge","12828",60.9206117647059,49.873,"REZ1",1.22151488309718
"Andrew Landry","sa3024982",0.4187,NA,NA,NA
"Andrew Lee","sa856275",1,NA,NA,NA
"Andrew Magno","sa3010824",21.5,NA,NA,NA
"Andrew Marrero","sa3016941",19,NA,NA,NA
"Andrew McInvale","sa3011143",1,NA,NA,NA
"Andrew Miller","6785",1,NA,NA,NA
"Andrew Misiaszek","sa3010118",29.8629333333333,NA,NA,NA
"Andrew Mitchell","sa3007801",1,NA,NA,NA
"Andrew Moore","17553",0.2876,NA,NA,NA
"Andrew Moore","sa3016795",32,NA,NA,NA
"Andrew Morris","sa3020569",10.30112,NA,NA,NA
"Andrew Nardi","25942",55.7850352941176,49.663,"REZ1",1.12327155617095
"Andrew Painter","sa3017880",18.2491285714286,NA,NA,NA
"Andrew Perez","sa3006640",0.9167,NA,NA,NA
"Andrew Politi","sa3007243",18,NA,NA,NA
"Andrew Quezada","sa3009858",9.13265,NA,NA,NA
"Andrew Saalfrank","26203",24.6338266666667,17.738,"REZ1",1.38876010072537
"Andrew Schultz","sa3010782",19,NA,NA,NA
"Andrew Sears","sa3023133",0.201,NA,NA,NA
"Andrew Shaps","sa3008430",1,NA,NA,NA
"Andrew Suarez","18300",14.5866666666667,17.52,"REZ1",0.832572298325723
"Andrew Taylor","sa3020873",0.2727,NA,NA,NA
"Andrew Vasquez","19482",22.5705,30.423,"REZ1",0.741889360023666
"Andrew Walling","sa3020319",21,NA,NA,NA
"Andrew Walters","33834",47.4925733333333,27.677,"REZ1",1.71595813611784
"Andrew Wantz","24933",14.5552636363636,24.141,"REZ1",0.602927121343923
"Andry Lara","sa3014716",22.4,NA,NA,NA
"Andy Basora","sa3019168",0.2332,NA,NA,NA
"Andy Fisher","sa1172135",1,NA,NA,NA
"Andy Luis","sa3015633",1,NA,NA,NA
"Andy Otero","sa506550",0.5902,NA,NA,NA
"Andy Rodriguez","sa3017620",1,NA,NA,NA
"Andy Rodriguez","sa3020863",16.41055,NA,NA,NA
"Andy Santana","sa3002957",1,NA,NA,NA
"Anel Cabrera","sa3021033",1,NA,NA,NA
"Aneudis George","sa3016514",1,NA,NA,NA
"Aneudis Mejia","sa3019960",0.4558,NA,NA,NA
"Aneudy Cortorreal","sa3009242",1,NA,NA,NA
"Aneuris Rodriguez","sa3019393",0.3643,NA,NA,NA
"Aneuris Rosario","sa828343",1,NA,NA,NA
"Aneury Lora","sa3019365",0.3206,NA,NA,NA
"Aneurys Zabala","20802",1,NA,NA,NA
"Anfernny Reyes","sa3018807",1,NA,NA,NA
"Angel Acevedo","sa917893",1,NA,NA,NA
"Angel Alfonseca","sa3015308",1,NA,NA,NA
"Angel Anazco","sa3021494",0.9027,NA,NA,NA
"Angel Bastardo","sa3009716",16.1614714285714,NA,NA,NA
"Angel Bello","sa3024272",0.2183,NA,NA,NA
"Angel Beltran","sa3024556",0.2653,NA,NA,NA
"Angel Camacho","sa3022175",0.7708,NA,NA,NA
"Angel Chivilli","26790",45.4897764705882,13.446,"REZ1",3.38314565451348
"Angel Cruz","sa3020988",1,NA,NA,NA
"Angel Cuenca","sa3006414",1,NA,NA,NA
"Angel De Jesus","22323",1,NA,NA,NA
"Angel Felipe","21163",8.16057142857143,26.062,"REZ1",0.313121457623031
"Angel Gonzalez","sa3015160",1,NA,NA,NA
"Angel Hernandez","sa3015363",1,NA,NA,NA
"Angel Hernandez","sa3019189",1,NA,NA,NA
"Angel Jimenez","sa3018287",0.1936,NA,NA,NA
"Angel Macuare","sa3003039",14.8763,NA,NA,NA
"Angel Perdomo","17759",41.3192705882353,12.001,"REZ1",3.44298563355015
"Angel Reyes","sa3006985",16.34045,NA,NA,NA
"Angel Roman","sa3018314",0.6768,NA,NA,NA
"Angel Rondon","22036",1,NA,NA,NA
"Angel Sanchez","11776",0.2068,NA,NA,NA
"Angel Tello","sa3019121",1,NA,NA,NA
"Angel Zerpa","22717",55.2623764705882,57.511,"REZ1",0.960900983648141
"Angello Infante","sa916705",1,NA,NA,NA
"Anibal Sanchez","3284",0.1754,NA,NA,NA
"Ankeily Feliz","sa3018803",0.7708,NA,NA,NA
"Anthony Arguelles","sa3023266",1,NA,NA,NA
"Anthony Banda","14706",51.9862,45.623,"REZ1",1.13947351116761
"Anthony Bass","7982",8.03885714285714,25.636,"REZ1",0.313576889641798
"Anthony Bello","sa3019565",1,NA,NA,NA
"Anthony Bender","19742",55.4206705882353,42.5,"REZ1",1.30401577854671
"Anthony Castro","19789",1,NA,NA,NA
"Anthony Crespo","sa3023139",0.1754,NA,NA,NA
"Anthony Cruz","sa3019534",0.4846,NA,NA,NA
"Anthony DeSclafani","13050",10.6701035294118,11.952,"REZ1",0.892746279234585
"Anthony Escobar","sa3005691",1,NA,NA,NA
"Anthony Flores","sa3019377",0.3898,NA,NA,NA
"Anthony Garcia","sa3019661",0.7205,NA,NA,NA
"Anthony Gose","5097",22.3975,39.385,"REZ1",0.568680969912403
"Anthony HoopiiTuionetoa","sa3015298",24.4,NA,NA,NA
"Anthony Kay","20387",6.85571428571429,21.495,"REZ1",0.318944605057655
"Anthony Maldonado","26034",23.2891555555556,24.54,"REZ1",0.94902834374717
"Anthony Mendez","sa3015992",1,NA,NA,NA
"Anthony Misiewicz","18152",24.4600705882353,32.958,"REZ1",0.742158826028136
"Anthony Molina","26952",29.3217764705882,30.518,"REZ1",0.960802689251859
"Anthony Narvaez","sa3019521",0.2571,NA,NA,NA
"Anthony Perez","sa3016623",0.7576,NA,NA,NA
"Anthony Simonelli","sa3017312",19.4658,NA,NA,NA
"Anthony Solometo","sa3018259",14.0997,NA,NA,NA
"Anthony Swarzak","7466",1,NA,NA,NA
"Anthony Tomczak","sa3011763",1,NA,NA,NA
"Anthony Veneziano","27453",44.2932470588235,30.422,"REZ1",1.45596104985943
"Anthony Vizcaya","sa657689",11,NA,NA,NA
"Antoine Kelly","sa3011135",16,NA,NA,NA
"Antoni Cuello","sa3015947",1,NA,NA,NA
"Antonio Florido","sa3018890",0.1754,NA,NA,NA
"Antonio Jimenez","sa3008074",27.6,NA,NA,NA
"Antonio Knowles","sa3017387",20.41755,NA,NA,NA
"Antonio Menendez","sa3018799",18.5,NA,NA,NA
"Antonio Santos","20383",9.5,NA,NA,NA
"Antonio Senzatela","15488",30.8498470588235,16.989,"REZ1",1.81587186172368
"Antonio Velez","sa3014850",1,NA,NA,NA
"Antwone Kelly","sa3015489",0.1985,NA,NA,NA
"Anyelo Ovando","sa3015996",1,NA,NA,NA
"Anyer Laureano","sa3019123",1,NA,NA,NA
"Archie Bradley","12918",9.24228571428571,29.848,"REZ1",0.309645058773979
"Argenis Angulo","sa829470",1,NA,NA,NA
"Argenis Aparicio","sa3021643",0.3354,NA,NA,NA
"Ariel Jurado","17030",0.1754,NA,NA,NA
"Arielbi Gonzalez","sa3016800",0.3131,NA,NA,NA
"Arij Fransen","sa3015369",1,NA,NA,NA
"Arlison Rodriguez","sa3018823",0.6092,NA,NA,NA
"Armando Vasquez","sa3018283",1,NA,NA,NA
"Arnaldo Hernandez","sa828154",1,NA,NA,NA
"Arodys Vizcaino","5498",1,NA,NA,NA
"Aroldis Chapman","10233",61.1754235294118,62.057,"REZ1",0.985794084944676
"Art Warren","18251",15.5,NA,NA,NA
"Asa Lacy","sa3014423",0.4162,NA,NA,NA
"Asher Wojciechowski","10836",0.1754,NA,NA,NA
"Ashton Goudeau","15139",1,NA,NA,NA
"Ashton Izzi","sa3022230",0.1754,NA,NA,NA
"Audry Lugo","sa3008710",1,NA,NA,NA
"Augusto Calderon","sa3006406",0.8887,NA,NA,NA
"Austin Adams","13801",32.5054705882353,50.4,"REZ1",0.644949813258637
"Austin Aldeano","sa3016259",0.2958,NA,NA,NA
"Austin Amaral","sa3022903",0.6916,NA,NA,NA
"Austin Becker","sa3020465",1,NA,NA,NA
"Austin Bergner","sa3011122",12.09145,NA,NA,NA
"Austin Brice","17237",14,NA,NA,NA
"Austin Briggs","sa3007261",0.8029,NA,NA,NA
"Austin Cox","24604",17.479875,17.977,"REZ1",0.972346609556656
"Austin Davis","17117",23.8772363636364,44.995,"REZ1",0.530664215215832
"Austin Drury","sa3008043",1,NA,NA,NA
"Austin Emener","sa3022799",0.1754,NA,NA,NA
"Austin Gomber","16561",25.8849529411765,23.255,"REZ1",1.1130919346883
"Austin Hansen","sa3006956",0.5811,NA,NA,NA
"Austin Hedges","12976",5,NA,NA,NA
"Austin Kitchen","27910",18.11375,16.772,"REZ1",1.07999940376819
"Austin Krob","sa3020594",11.591,NA,NA,NA
"Austin Lambright","sa3007236",1,NA,NA,NA
"Austin Love","sa3017609",0.1754,NA,NA,NA
"Austin Peterson","sa3020868",12.0877,NA,NA,NA
"Austin Pope","sa3010816",23,NA,NA,NA
"Austin Pruitt","15290",18.331,29.986,"REZ1",0.611318615353832
"Austin Roberts","sa3010254",22.5,NA,NA,NA
"Austin Ross","sa3007817",1,NA,NA,NA
"Austin Schulfer","sa3007585",16.95055,NA,NA,NA
"Austin Smith","sa3017071",13.9695,NA,NA,NA
"Austin Strickland","sa3023380",1,NA,NA,NA
"Austin Temple","sa3020263",1,NA,NA,NA
"Austin Troesser","sa3023281",0.2769,NA,NA,NA
"Austin Vernon","sa3017138",17.5,NA,NA,NA
"Austin Voth","15047",37.3485636363636,48.098,"REZ1",0.776509701783102
"Austin Warner","sa3004494",0.4113,NA,NA,NA
"Austin Warren","24937",17.4371764705882,34.096,"REZ1",0.511414138625887
"Avery Short","sa3011712",0.1829,NA,NA,NA
"Avery Weems","sa3010256",0.7353,NA,NA,NA
"Ayendy Bravo","sa3024090",0.4113,NA,NA,NA
"Bailey Dees","sa3017946",13.091,NA,NA,NA
"Bailey Falter","20070",35.4047764705882,22.675,"REZ1",1.56140138789805
"Bailey Horn","27753",24.9517176470588,31.525,"REZ1",0.791489853990764
"Bailey Ober","21224",27.4141176470588,20.629,"REZ1",1.3289116121508
"Bailey Reid","sa3014867",1,NA,NA,NA
"Baron Stuart","sa3020888",10.0877,NA,NA,NA
"Barrett Kent","sa3023082",0.1754,NA,NA,NA
"Barrett Loseke","sa3008243",1,NA,NA,NA
"Bayant Melo","sa3022028",0.1754,NA,NA,NA
"Bayden Root","sa3023040",1,NA,NA,NA
"Bear Bellomy","sa1170484",1,NA,NA,NA
"Beau Brieske","26079",55.3424117647059,36.546,"REZ1",1.5143219987059
"Beau Burrows","18873",12.9254,NA,NA,NA
"Beau Sulser","23420",11,NA,NA,NA
"Beck Way","sa3014462",18,NA,NA,NA
"Ben Anderson","sa3010560",10.10215,NA,NA,NA
"Ben Beutel","sa3019848",1,NA,NA,NA
"Ben Bowden","20198",19,NA,NA,NA
"Ben Braymer","20175",0.4376,NA,NA,NA
"Ben Brecht","sa3011218",0.2018,NA,NA,NA
"Ben Brown","23590",27.5969529411765,26.275,"REZ1",1.05031219566799
"Ben Brutti","sa3021478",0.2694,NA,NA,NA
"Ben Casparius","30085",22.3539529411765,36.779,"REZ1",0.60779121077725
"Ben Ethridge","sa3020820",1,NA,NA,NA
"Ben Gross","sa1119979",0.4376,NA,NA,NA
"Ben Harris","sa3017779",21,NA,NA,NA
"Ben Hecht","sa738501",1,NA,NA,NA
"Ben Heller","15100",17.3004654545455,33.807,"REZ1",0.511742108277737
"Ben Hernandez","sa3014541",1,NA,NA,NA
"Ben Holmes","sa549147",1,NA,NA,NA
"Ben Joyce","31461",55.5538352941176,41.849,"REZ1",1.32748298153164
